CohortMonth,MonthsSinceSignup,ActiveCustomers,CohortSize,RetentionRate
2023-06-01,4,15,16,93.75
2023-06-01,5,15,16,93.75
2023-06-01,6,15,16,93.75
2023-06-01,7,15,16,93.75
2023-06-01,8,14,16,87.5
2023-06-01,9,14,16,87.5
2023-06-01,10,13,16,81.25
2023-06-01,11,13,16,81.25
2023-06-01,12,13,16,81.25
2023-06-01,13,13,16,81.25
2023-06-01,14,12,16,75.0
2023-06-01,15,12,16,75.0
2023-06-01,16,12,16,75.0
2023-06-01,17,12,16,75.0
2023-06-01,18,12,16,75.0
2023-07-01,0,20,20,100.0
2023-07-01,1,20,20,100.0
2023-07-01,2,20,20,100.0
2023-07-01,3,20,20,100.0
2023-07-01,4,20,20,100.0
2023-07-01,5,20,20,100.0
2023-07-01,6,19,20,95.0
2023-07-01,7,20,20,100.0
2023-07-01,8,19,20,95.0
2023-07-01,9,19,20,95.0
2023-07-01,10,19,20,95.0
2023-07-01,11,19,20,95.0
2023-07-01,12,18,20,90.0
2023-07-01,13,18,20,90.0
2023-07-01,14,18,20,90.0
2023-07-01,15,18,20,90.0
2023-07-01,16,15,20,75.0
2023-07-01,17,12,20,60.0
2023-08-01,0,16,16,100.0
2023-08-01,1,16,16,100.0
2023-08-01,2,16,16,100.0
2023-08-01,3,16,16,100.0
2023-08-01,4,16,16,100.0
2023-08-01,5,16,16,100.0
2023-08-01,6,15,16,93.75
2023-08-01,7,14,16,87.5
2023-08-01,8,13,16,81.25
2023-08-01,9,13,16,81.25
2023-08-01,10,13,16,81.25
2023-08-01,11,12,16,75.0
2023-08-01,12,12,16,75.0
2023-08-01,13,12,16,75.0
2023-08-01,14,12,16,75.0
2023-08-01,15,12,16,75.0
2023-08-01,16,12,16,75.0
2023-09-01,0,15,15,100.0
2023-09-01,1,15,15,100.0
2023-09-01,2,15,15,100.0
2023-09-01,3,15,15,100.0
2023-09-01,4,15,15,100.0
2023-09-01,5,15,15,100.0
2023-09-01,6,15,15,100.0
2023-09-01,7,15,15,100.0
2023-09-01,8,15,15,100.0
2023-09-01,9,15,15,100.0
2023-09-01,10,15,15,100.0
2023-09-01,11,15,15,100.0
2023-09-01,12,15,15,100.0
2023-09-01,13,14,15,93.33333333333333
2023-09-01,14,14,15,93.33333333333333
2023-09-01,15,13,15,86.66666666666667
2023-10-01,0,13,13,100.0
2023-10-01,1,13,13,100.0
2023-10-01,2,13,13,100.0
2023-10-01,3,13,13,100.0
2023-10-01,4,13,13,100.0
2023-10-01,5,13,13,100.0
2023-10-01,6,13,13,100.0
2023-10-01,7,13,13,100.0
2023-10-01,8,13,13,100.0
2023-10-01,9,13,13,100.0
2023-10-01,10,13,13,100.0
2023-10-01,11,13,13,100.0
2023-10-01,12,12,13,92.3076923076923
2023-10-01,13,12,13,92.3076923076923
2023-10-01,14,12,13,92.3076923076923
2023-11-01,0,15,15,100.0
2023-11-01,1,15,15,100.0
2023-11-01,2,15,15,100.0
2023-11-01,3,15,15,100.0
2023-11-01,4,14,15,93.33333333333333
2023-11-01,5,14,15,93.33333333333333
2023-11-01,6,12,15,80.0
2023-11-01,7,12,15,80.0
2023-11-01,8,12,15,80.0
2023-11-01,9,12,15,80.0
2023-11-01,10,12,15,80.0
2023-11-01,11,12,15,80.0
2023-11-01,12,11,15,73.33333333333333
2023-11-01,13,11,15,73.33333333333333
2023-12-01,0,17,17,100.0
2023-12-01,1,17,17,100.0
2023-12-01,2,17,17,100.0
2023-12-01,3,17,17,100.0
2023-12-01,4,17,17,100.0
2023-12-01,5,17,17,100.0
2023-12-01,6,15,17,88.23529411764706
2023-12-01,7,13,17,76.47058823529412
2023-12-01,8,12,17,70.58823529411765
2023-12-01,9,12,17,70.58823529411765
2023-12-01,10,12,17,70.58823529411765
2023-12-01,11,11,17,64.70588235294117
2023-12-01,12,11,17,64.70588235294117
2024-01-01,0,10,10,100.0
2024-01-01,1,10,10,100.0
2024-01-01,2,10,10,100.0
2024-01-01,3,9,10,90.0
2024-01-01,4,9,10,90.0
2024-01-01,5,9,10,90.0
2024-01-01,6,9,10,90.0
2024-01-01,7,9,10,90.0
2024-01-01,8,9,10,90.0
2024-01-01,9,9,10,90.0
2024-01-01,10,9,10,90.0
2024-01-01,11,9,10,90.0
2024-02-01,0,16,16,100.0
2024-02-01,1,16,16,100.0
2024-02-01,2,16,16,100.0
2024-02-01,3,16,16,100.0
2024-02-01,4,16,16,100.0
2024-02-01,5,15,16,93.75
2024-02-01,6,15,16,93.75
2024-02-01,7,15,16,93.75
2024-02-01,8,15,16,93.75
2024-02-01,9,15,16,93.75
2024-02-01,10,15,16,93.75
2024-03-01,0,24,24,100.0
2024-03-01,1,24,24,100.0
2024-03-01,2,24,24,100.0
2024-03-01,3,24,24,100.0
2024-03-01,4,22,24,91.66666666666666
2024-03-01,5,21,24,87.5
2024-03-01,6,21,24,87.5
2024-03-01,7,21,24,87.5
2024-03-01,8,21,24,87.5
2024-03-01,9,21,24,87.5
2024-04-01,0,14,14,100.0
2024-04-01,1,14,14,100.0
2024-04-01,2,14,14,100.0
2024-04-01,3,14,14,100.0
2024-04-01,4,14,14,100.0
2024-04-01,5,13,14,92.85714285714286
2024-04-01,6,13,14,92.85714285714286
2024-04-01,7,13,14,92.85714285714286
2024-04-01,8,12,14,85.71428571428571
2024-05-01,0,14,14,100.0
2024-05-01,1,14,14,100.0
2024-05-01,2,14,14,100.0
2024-05-01,3,14,14,100.0
2024-05-01,4,14,14,100.0
2024-05-01,5,14,14,100.0
2024-05-01,6,14,14,100.0
2024-05-01,7,14,14,100.0
2024-06-01,0,18,18,100.0
2024-06-01,1,18,18,100.0
2024-06-01,2,18,18,100.0
2024-06-01,3,18,18,100.0
2024-06-01,4,18,18,100.0
2024-06-01,5,17,18,94.44444444444444
2024-06-01,6,17,18,94.44444444444444
2024-07-01,0,16,16,100.0
2024-07-01,1,16,16,100.0
2024-07-01,2,16,16,100.0
2024-07-01,3,16,16,100.0
2024-07-01,4,15,16,93.75
2024-07-01,5,15,16,93.75
2024-08-01,0,26,26,100.0
2024-08-01,1,26,26,100.0
2024-08-01,2,26,26,100.0
2024-08-01,3,26,26,100.0
2024-08-01,4,26,26,100.0
2024-09-01,0,15,15,100.0
2024-09-01,1,15,15,100.0
2024-09-01,2,15,15,100.0
2024-09-01,3,15,15,100.0
2024-10-01,0,18,18,100.0
2024-10-01,1,18,18,100.0
2024-10-01,2,18,18,100.0
2024-11-01,0,19,19,100.0
2024-11-01,1,19,19,100.0
2024-12-01,0,14,14,100.0
