SubscriptionID,CustomerID,PlanName,BillingTerm,Seats,MRR,StartDate,EndDate,Status
S5078,C1075,Business,Annual,7.0,738.52,2024-05-01,,Active
S5079,C1076,Starter,Annual,10.0,84.28,2024-05-26,2026-01-13,Churned
S5080,C1076,Enterprise,Annual,9.0,2458.36,2026-04-09,,Active
S5081,C1077,Starter,Monthly,9.0,80.36,2024-03-10,,Active
S5082,C1078,Starter,Monthly,8.0,76.44,2024-03-09,,Active
S5083,C1079,Business,Monthly,8.0,778.44,2024-07-30,,Active
S5084,C1080,Growth,Monthly,8.0,310.44,2024-05-05,,Active
S5085,C1081,Starter,Monthly,5.0,64.68,2024-04-01,,Active
S5086,C1082,Growth,Monthly,7.0,294.52,2024-06-06,,Active
S5087,C1083,Starter,Annual,9.0,80.36,2024-03-01,,Active
S5088,C1084,Growth,Monthly,7.0,294.52,2025-01-17,,Active
S5089,C1085,Business,Annual,4.0,618.76,2023-06-17,2024-01-17,Churned
S5090,C1086,Business,Monthly,9.0,818.36,2023-04-29,,Active
S5091,C1087,Starter,Annual,4.0,60.76,2024-11-03,,Active
S5092,C1088,Growth,Monthly,8.0,310.44,2023-06-30,,Active
S5093,C1089,Starter,Monthly,9.0,72.52,2024-05-27,,Active
S5094,C1090,Growth,Monthly,9.0,326.36,2024-10-05,2025-10-19,Churned
S5095,C1091,Business,Annual,4.0,618.76,2024-11-17,,Active
S5096,C1092,Starter,Monthly,6.0,68.6,2024-12-05,,Active
S5097,C1093,Business,Monthly,5.0,658.68,2023-05-28,,Active
S5098,C1094,Enterprise,Monthly,4.0,1858.76,2023-03-05,,Active
S5099,C1095,Starter,Monthly,7.0,72.52,2023-02-13,,Active
S5100,C1096,Growth,Annual,8.0,310.44,2024-03-07,,Active
S5101,C1097,Starter,Monthly,6.0,68.6,2024-12-24,2025-12-30,Churned
S5102,C1098,Business,Annual,9.0,818.36,2024-04-24,,Active
S5103,C1099,Starter,Monthly,11.0,88.2,2023-02-17,2024-02-09,Churned
S5104,C1100,Enterprise,Monthly,6.0,2098.6,2024-07-27,,Active
S5105,C1101,Growth,Annual,7.0,294.52,2023-02-24,,Active
S5106,C1102,Enterprise,Monthly,7.0,2218.52,2023-03-18,,Paused
S5107,C1103,Enterprise,Monthly,14.0,3057.96,2023-07-30,,Active
S5108,C1104,Starter,Annual,7.0,72.52,2024-10-10,,Active
S5109,C1105,Business,Monthly,6.0,698.6,2023-01-30,,Active
S5110,C1106,Growth,Annual,1.0,199.0,2024-09-29,,Active
S5111,C1107,Starter,Monthly,5.0,64.68,2023-12-07,2025-02-17,Churned
S5112,C1108,Starter,Monthly,6.0,68.6,2023-01-14,,Paused
S5113,C1109,Growth,Monthly,5.0,262.68,2023-02-19,,Active
S5114,C1110,Growth,Annual,7.0,294.52,2024-07-30,,Active
S5115,C1111,Business,Monthly,5.0,658.68,2024-06-30,,Active
S5116,C1112,Starter,Annual,7.0,72.52,2023-07-25,2024-10-18,Churned
S5117,C1113,Enterprise,Annual,10.0,2578.28,2024-09-12,,Active
S5118,C1114,Starter,Monthly,9.0,80.36,2024-11-26,,Active
S5119,C1115,Starter,Monthly,11.0,88.2,2024-09-16,2025-03-06,Churned
S5120,C1116,Starter,Annual,9.0,80.36,2024-12-01,,Active
S5121,C1117,Business,Monthly,7.0,738.52,2024-01-27,2024-03-21,Churned
S5122,C1118,Growth,Monthly,6.0,278.6,2024-07-17,,Active
S5123,C1119,Starter,Monthly,7.0,72.52,2023-07-29,,Active
S5124,C1120,Growth,Monthly,8.0,310.44,2024-06-20,,Active
S5125,C1121,Enterprise,Monthly,4.0,1858.76,2023-04-13,,Active
S5126,C1122,Growth,Monthly,8.0,310.44,2024-04-06,2024-11-28,Churned
S5127,C1123,Starter,Annual,12.0,92.12,2024-05-09,,Active
S5128,C1124,Growth,Annual,6.0,278.6,2024-08-09,,Active
S5129,C1125,Starter,Monthly,11.0,88.2,2023-06-17,2024-07-05,Churned
S5130,C1126,Starter,Monthly,13.0,96.04,2023-10-11,,Active
S5131,C1127,Growth,Annual,6.0,278.6,2024-03-16,,Active
S5132,C1128,Starter,Monthly,11.0,88.2,2023-09-29,,Active
S5133,C1129,Business,Annual,10.0,858.28,2024-05-26,2025-04-24,Churned
S5134,C1130,Starter,Monthly,9.0,80.36,2024-03-26,,Active
S5135,C1131,Growth,Monthly,5.0,262.68,2023-05-05,2024-06-01,Churned
S5136,C1131,Growth,Monthly,5.0,262.68,2024-06-21,,Paused
S5137,C1132,Starter,Annual,8.0,76.44,2023-12-07,2025-05-09,Churned
S5138,C1132,Business,Monthly,6.0,698.6,2025-06-10,,Paused
S5139,C1133,Starter,Monthly,9.0,80.36,2025-01-25,,Active
S5140,C1134,Starter,Monthly,3.0,56.84,2023-01-30,,Active
S5141,C1135,Growth,Monthly,4.0,246.76,2023-11-21,,Active
S5142,C1136,Growth,Monthly,7.0,294.52,2024-04-04,,Active
S5143,C1137,Growth,Annual,10.0,342.28,2023-08-09,2024-03-14,Churned
S5144,C1138,Starter,Monthly,10.0,84.28,2024-10-27,,Active
S5145,C1139,Starter,Annual,6.0,68.6,2023-07-17,,Active
S5146,C1140,Growth,Monthly,6.0,278.6,2024-07-15,2024-10-25,Churned
S5147,C1141,Growth,Annual,6.0,278.6,2023-02-25,,Active
S5148,C1142,Growth,Monthly,9.0,326.36,2023-03-03,,Active
S5149,C1143,Starter,Monthly,11.0,88.2,2023-02-20,2024-05-24,Churned
S5150,C1144,Enterprise,Annual,11.0,2698.2,2024-01-15,,Active
S5151,C1145,Starter,Annual,6.0,68.6,2023-03-28,,Active
S5152,C1146,Growth,Monthly,7.0,294.52,2023-01-16,,Active
S5153,C1147,Growth,Monthly,5.0,262.68,2023-11-07,,Active
S5154,C1148,Business,Annual,8.0,778.44,2024-09-04,,Active
S5155,C1149,Enterprise,Monthly,5.0,1978.68,2023-04-23,,Active
S5156,C1150,Business,Monthly,3.0,578.84,2025-01-14,2026-07-03,Churned
S5157,C1151,Business,Monthly,8.0,778.44,2023-07-20,2024-11-19,Churned
S5158,C1152,Growth,Annual,7.0,294.52,2024-08-03,2025-05-27,Churned
S5159,C1153,Business,Annual,4.0,618.76,2024-08-10,,Active
S5160,C1154,Starter,Monthly,5.0,64.68,2024-10-29,2025-03-16,Churned
S5161,C1154,Business,Annual,5.0,658.68,2025-04-12,2025-10-20,Churned
S5162,C1155,Enterprise,Monthly,6.0,2098.6,2023-09-30,,Active
S5163,C1156,Enterprise,Monthly,7.0,2218.52,2024-03-16,,Active
S5164,C1157,Growth,Annual,3.0,230.84,2024-02-24,,Active
S5165,C1158,Starter,Monthly,10.0,84.28,2023-03-21,,Active
S5166,C1159,Starter,Monthly,9.0,80.36,2024-09-02,,Active
S5167,C1160,Starter,Monthly,6.0,68.6,2024-12-11,,Active
S5168,C1161,Growth,Monthly,4.0,246.76,2024-05-18,,Active
S5169,C1162,Enterprise,Monthly,6.0,2098.6,2024-09-08,2025-09-18,Churned
S5170,C1163,Growth,Monthly,6.0,278.6,2023-09-03,,Active
S5171,C1164,Starter,Monthly,9.0,80.36,2023-10-06,,Active
S5172,C1165,Starter,Annual,7.0,72.52,2024-03-12,,Active
S5173,C1166,Enterprise,Monthly,8.0,2338.44,2024-08-30,,Active
S5174,C1167,Growth,Monthly,6.0,278.6,2023-04-19,,Active
S5175,C1168,Starter,Annual,3.0,56.84,2023-10-30,,Active
S5176,C1169,Business,Monthly,5.0,658.68,2024-09-01,,Active
S5177,C1170,Starter,Monthly,8.0,76.44,2023-12-28,2024-05-28,Churned
S5178,C1171,Growth,Monthly,8.0,294.52,2023-11-04,,Active
S5179,C1172,Business,Monthly,9.0,818.36,2024-11-08,2025-01-09,Churned
S5180,C1173,Starter,Monthly,8.0,76.44,2024-09-03,2025-08-05,Churned
S5181,C1174,Growth,Monthly,3.0,230.84,2024-08-29,,Active
S5182,C1175,Starter,Monthly,3.0,56.84,2023-05-31,,Active
S5183,C1176,Starter,Monthly,7.0,72.52,2024-08-26,2025-02-22,Churned
S5184,C1177,Starter,Monthly,7.0,72.52,2023-11-13,,Active
S5185,C1178,Growth,Monthly,9.0,326.36,2023-06-30,,Active
S5186,C1179,Starter,Annual,4.0,60.76,2023-08-13,2024-02-02,Churned
S5187,C1180,Starter,Annual,6.0,68.6,2023-08-14,2024-06-05,Churned
S5188,C1181,Growth,Annual,3.0,230.84,2024-09-28,2024-12-14,Churned
S5189,C1182,Enterprise,Monthly,5.0,1978.68,2023-09-21,2025-02-13,Churned
S5190,C1183,Growth,Monthly,9.0,326.36,2024-04-03,2025-07-20,Churned
S5191,C1183,Starter,Monthly,8.0,76.44,2025-10-15,2026-04-28,Churned
S5192,C1184,Business,Monthly,9.0,818.36,2023-04-15,,Active
S5193,C1185,Growth,Annual,7.0,294.52,2024-08-23,2025-12-10,Churned
S5194,C1186,Business,Monthly,7.0,738.52,2023-10-05,,Active
S5195,C1187,Business,Monthly,3.0,578.84,2024-03-20,,Active
S5196,C1188,Business,Monthly,8.0,778.44,2023-07-21,,Active
S5197,C1189,Growth,Annual,8.0,310.44,2024-08-26,2026-01-26,Churned
S5198,C1190,Growth,Monthly,10.0,342.28,2023-02-14,,Active
S5199,C1191,Starter,Monthly,6.0,68.6,2023-12-31,,Active
S5200,C1192,Starter,Monthly,10.0,84.28,2023-07-05,,Active
S5201,C1193,Growth,Monthly,6.0,278.6,2024-08-02,,Active
S5202,C1194,Enterprise,Monthly,4.0,1858.76,2024-03-19,2025-08-13,Churned
S5203,C1194,Enterprise,Annual,6.0,2098.6,2025-09-23,2025-12-16,Churned
S5204,C1195,Enterprise,Annual,10.0,2578.28,2023-05-03,,Active
S5205,C1196,Starter,Monthly,14.0,99.96,2023-03-16,2023-06-21,Churned
S5206,C1197,Starter,Annual,11.0,88.2,2024-04-28,,Active
S5207,C1198,Enterprise,Monthly,7.0,2218.52,2023-04-26,,Active
S5208,C1199,Growth,Annual,6.0,278.6,2024-08-05,,Active
S5209,C1200,Starter,Annual,4.0,60.76,2024-11-10,,Active
S5210,C1201,Enterprise,Monthly,4.0,1858.76,2024-12-07,,Active
S5211,C1202,Business,Annual,9.0,818.36,2024-12-06,2025-07-07,Churned
S5212,C1202,Growth,Monthly,7.0,294.52,2025-07-24,2026-09-05,Churned
S5213,C1203,Business,Monthly,10.0,858.28,2024-10-24,,Active
S5214,C1204,Enterprise,Monthly,8.0,2338.44,2023-02-19,,Active
S5215,C1205,Business,Monthly,8.0,778.44,2023-11-16,2024-10-22,Churned
S5216,C1206,Business,Annual,7.0,738.52,2023-04-29,,Active
S5217,C1207,Growth,Monthly,8.0,310.44,2023-04-17,,Active
S5218,C1208,Starter,Monthly,4.0,60.76,2023-10-02,2024-09-03,Churned
S5219,C1209,Business,Annual,5.0,658.68,2023-08-28,2024-01-31,Churned
S5220,C1210,Starter,Annual,3.0,56.84,2023-12-29,2024-07-07,Churned
S5221,C1211,Growth,Annual,7.0,294.52,2024-10-13,,Active
S5222,C1212,Business,Monthly,2.0,538.92,2023-06-27,,Active
S5223,C1213,Growth,Annual,2.0,214.92,2024-11-28,,Active
S5224,C1214,Growth,Monthly,14.0,405.96,2024-11-17,,Active
S5225,C1215,Starter,Monthly,4.0,60.76,2024-08-28,,Active
S5226,C1216,Starter,Annual,8.0,76.44,2023-08-25,,Active
S5227,C1217,Enterprise,Annual,4.0,1858.76,2023-03-06,2024-02-18,Churned
S5228,C1218,Starter,Annual,10.0,84.28,2025-01-19,,Active
S5229,C1219,Starter,Annual,10.0,84.28,2023-03-06,2023-07-10,Churned
S5230,C1219,Starter,Monthly,8.0,76.44,2023-10-02,,Active
S5231,C1220,Business,Monthly,5.0,658.68,2023-02-28,,Active
S5232,C1221,Starter,Annual,9.0,80.36,2023-05-20,2024-08-31,Churned
S5233,C1222,Business,Monthly,9.0,818.36,2024-09-13,,Active
S5234,C1223,Growth,Annual,6.0,278.6,2024-08-07,,Active
S5235,C1224,Business,Annual,11.0,898.2,2024-02-15,,Active
S5236,C1225,Starter,Monthly,5.0,64.68,2023-08-14,2024-10-14,Churned
S5237,C1225,Starter,Monthly,5.0,64.68,2024-11-14,,Active
S5238,C1226,Growth,Monthly,4.0,246.76,2023-05-04,,Paused
S5239,C1227,Business,Monthly,6.0,698.6,2024-04-25,2024-08-20,Churned
S5240,C1228,Growth,Annual,3.0,230.84,2023-12-08,2024-10-29,Churned
S5241,C1229,Starter,Monthly,7.0,72.52,2024-02-23,,Active
S5242,C1230,Growth,Annual,8.0,310.44,2023-07-24,2024-11-10,Churned
S5243,C1230,Business,Monthly,6.0,698.6,2025-01-06,,Active
S5244,C1231,Growth,Monthly,4.0,246.76,2023-12-09,,Active
S5245,C1232,Business,Annual,7.0,738.52,2024-10-14,,Active
S5246,C1233,Business,Monthly,3.0,578.84,2024-08-17,,Active
S5247,C1234,Starter,Annual,6.0,68.6,2023-05-15,,Active
S5248,C1235,Starter,Monthly,6.0,68.6,2024-06-05,,Active
S5249,C1236,Starter,Annual,7.0,72.52,2023-03-15,2023-07-31,Churned
S5250,C1237,Growth,Monthly,11.0,358.2,2024-07-20,,Active
S5251,C1238,Starter,Monthly,11.0,88.2,2023-05-23,2025-01-18,Churned
S5252,C1239,Enterprise,Monthly,3.0,1738.84,2023-05-30,2023-08-19,Churned
S5253,C1240,Starter,Monthly,5.0,64.68,2025-01-12,,Paused
S5254,C1241,Enterprise,Monthly,6.0,2098.6,2023-07-05,2024-11-25,Churned
S5255,C1242,Enterprise,Monthly,8.0,2338.44,2024-11-12,2025-12-27,Churned
S5256,C1242,Growth,Monthly,8.0,310.44,2026-01-28,,Active
S5257,C1243,Starter,Monthly,5.0,64.68,2023-12-03,,Active
S5258,C1244,Starter,Annual,7.0,72.52,2024-11-20,,Active
S5259,C1245,Starter,Monthly,10.0,84.28,2024-12-08,,Active
S5260,C1246,Business,Monthly,4.0,618.76,2024-02-13,,Active
S5261,C1247,Business,Monthly,7.0,738.52,2024-08-23,,Active
S5262,C1248,Business,Monthly,7.0,738.52,2024-04-18,,Active
S5263,C1249,Business,Monthly,6.0,698.6,2023-04-12,,Active
S5264,C1250,Enterprise,Annual,5.0,1978.68,2024-01-20,,Paused
S5265,C1251,Business,Monthly,9.0,818.36,2023-03-19,,Active
S5266,C1252,Enterprise,Monthly,6.0,2098.6,2023-07-22,2025-02-12,Churned
S5267,C1253,Starter,Monthly,9.0,80.36,2024-06-01,2025-09-24,Churned
S5268,C1253,Starter,Monthly,8.0,76.44,2025-11-11,,Active
S5269,C1254,Growth,Annual,8.0,310.44,2023-04-19,,Active
S5270,C1255,Growth,Annual,8.0,310.44,2024-10-25,2025-02-25,Churned
S5271,C1256,Enterprise,Monthly,5.0,1978.68,2024-03-30,,Active
S5272,C1257,Enterprise,Monthly,4.0,1858.76,2023-11-18,2024-02-25,Churned
S5273,C1258,Business,Monthly,5.0,658.68,2024-02-27,2024-06-29,Churned
S5274,C1259,Business,Monthly,8.0,778.44,2024-10-31,,Active
S5275,C1260,Business,Monthly,6.5,818.36,2023-06-11,,Active
S5276,C1261,Enterprise,Monthly,5.0,1978.68,2024-03-07,2024-06-08,Churned
S5277,C1262,Growth,Monthly,10.0,342.28,2024-04-09,,Active
S5278,C1263,Enterprise,Monthly,8.0,2338.44,2025-01-05,,Active
S5279,C1264,Business,Monthly,6.0,698.6,2024-07-05,,Active
S5280,C1265,Growth,Monthly,7.0,294.52,2023-10-23,,Active
S5281,C1266,Growth,Annual,10.0,342.28,2023-07-04,,Active
S5282,C1267,Enterprise,Monthly,6.0,2098.6,2023-11-09,2024-04-16,Churned
S5283,C1268,Starter,Monthly,9.0,80.36,2023-08-21,,Active
S5284,C1269,Growth,Monthly,7.0,294.52,2024-01-16,2025-08-04,Churned
S5285,C1270,Growth,Annual,7.0,294.52,2024-06-22,,Active
S5286,C1271,Growth,Monthly,7.0,294.52,2024-12-11,,Active
S5287,C1272,Enterprise,Annual,7.0,2218.52,2024-04-25,,Active
S5288,C1273,Business,Annual,9.0,818.36,2023-03-25,,Active
S5289,C1274,Growth,Monthly,10.0,342.28,2024-10-06,2025-05-07,Churned
S5290,C1275,Enterprise,Annual,1.0,1499.0,2023-09-06,2024-09-21,Churned
S5291,C1276,Growth,Annual,4.0,246.76,2024-06-23,2024-10-08,Churned
S5292,C1277,Growth,Annual,8.0,278.6,2023-01-19,2024-07-15,Churned
S5293,C1278,Starter,Annual,7.0,72.52,2024-02-14,2025-03-28,Churned
S5294,C1279,Starter,Monthly,9.0,80.36,2024-06-19,2025-02-28,Churned
S5295,C1280,Growth,Annual,6.0,278.6,2024-04-06,,Active
S5296,C1281,Enterprise,Annual,6.0,2098.6,2024-05-17,2025-12-09,Churned
S5297,C1282,Enterprise,Annual,5.0,1978.68,2024-12-03,,Active
S5298,C1283,Starter,Annual,10.0,84.28,2023-04-03,,Active
S5299,C1284,Enterprise,Annual,5.0,1978.68,2024-12-27,,Active
S5300,C1285,Business,Monthly,8.0,778.44,2023-05-19,,Active
S5301,C1286,Growth,Monthly,9.0,326.36,2023-10-27,,Active
S5302,C1287,Growth,Monthly,3.0,230.84,2023-09-09,2024-11-04,Churned
S5303,C1288,Enterprise,Monthly,2.0,1618.92,2024-09-09,,Active
S5304,C1289,Growth,Annual,5.0,262.68,2023-02-13,,Active
S5305,C1290,Enterprise,Monthly,10.0,2578.28,2023-05-09,,Paused
S5306,C1291,Starter,Monthly,4.0,60.76,2024-11-30,,Active
S5307,C1292,Growth,Annual,5.0,262.68,2024-06-08,,Active
S5308,C1293,Growth,Annual,6.0,278.6,2024-06-01,,Active
S5309,C1294,Growth,Annual,11.0,358.2,2023-07-24,2024-02-08,Churned
S5310,C1295,Growth,Annual,6.0,278.6,2024-05-05,,Active
S5311,C1296,Business,Annual,5.0,658.68,2023-02-12,,Active
S5312,C1297,Business,Monthly,6.0,698.6,2023-09-16,,Active
S5313,C1298,Starter,Monthly,3.0,56.84,2023-04-14,,Active
S5314,C1299,Growth,Monthly,12.0,374.12,2023-08-23,,Active
S5315,C1300,Growth,Monthly,6.0,278.6,2023-06-19,,Active
S5316,C1301,Growth,Monthly,3.0,230.84,2023-02-23,2023-06-27,Churned
S5317,C1302,Business,Annual,8.0,778.44,2024-05-13,2026-01-20,Churned
S5318,C1303,Starter,Monthly,7.0,72.52,2023-08-15,,Active
S5319,C1304,Starter,Monthly,5.0,64.68,2023-10-18,,Active
S5320,C1305,Growth,Annual,7.0,262.68,2024-11-01,2025-10-15,Churned
S5321,C1306,Starter,Annual,7.0,72.52,2024-06-24,,Active
S5322,C1307,Growth,Monthly,6.0,278.6,2023-09-03,,Active
S5323,C1308,Enterprise,Annual,9.0,2458.36,2024-07-25,,Active
S5324,C1309,Starter,Monthly,9.0,80.36,2023-02-06,,Active
S5325,C1310,Business,Monthly,8.0,778.44,2024-08-25,,Active
S5326,C1311,Starter,Monthly,5.0,64.68,2024-03-25,2024-06-02,Churned
S5327,C1312,Growth,Annual,9.0,326.36,2023-12-05,,Active
S5328,C1313,Enterprise,Monthly,5.0,1978.68,2023-06-30,,Active
S5329,C1314,Growth,Monthly,8.0,310.44,2023-01-05,,Active
S5330,C1315,Starter,Monthly,2.0,52.92,2024-07-13,,Paused
S5331,C1316,Growth,Annual,10.0,342.28,2023-08-28,,Active
S5332,C1317,Growth,Monthly,9.0,326.36,2024-08-17,,Active
S5333,C1318,Starter,Annual,5.0,64.68,2023-09-28,,Active
S5334,C1319,Growth,Annual,6.0,278.6,2024-08-05,,Active
S5335,C1320,Growth,Annual,9.0,326.36,2024-05-16,2025-02-17,Churned
S5336,C1321,Starter,Monthly,6.0,68.6,2024-08-03,,Active
S5337,C1322,Growth,Monthly,7.0,294.52,2023-09-12,,Active
S5338,C1323,Starter,Annual,6.0,68.6,2023-10-30,,Active
S5339,C1324,Enterprise,Annual,9.0,2458.36,2023-02-10,,Active
S5340,C1325,Enterprise,Annual,8.0,2338.44,2023-05-09,,Active
S5341,C1326,Starter,Annual,8.0,76.44,2023-03-26,,Active
S5342,C1327,Enterprise,Annual,6.0,2098.6,2023-01-09,,Active
S5343,C1328,Growth,Annual,10.0,342.28,2023-05-26,2024-04-11,Churned
S5344,C1329,Starter,Monthly,8.0,76.44,2024-06-11,,Active
S5345,C1330,Business,Monthly,2.0,538.92,2023-05-14,,Active
S5346,C1331,Growth,Monthly,8.0,310.44,2023-08-24,2024-12-30,Churned
S5347,C1332,Business,Monthly,4.0,618.76,2024-11-11,,Active
S5348,C1333,Growth,Annual,6.0,278.6,2023-05-18,2024-06-04,Churned
S5349,C1334,Enterprise,Monthly,5.0,1978.68,2025-01-02,,Active
S5350,C1335,Business,Monthly,8.0,778.44,2023-08-16,,Active
S5351,C1336,Business,Monthly,5.0,658.68,2023-06-03,,Active
S5352,C1337,Growth,Monthly,3.0,230.84,2024-01-16,2025-03-08,Churned
S5353,C1338,Growth,Annual,10.0,342.28,2023-04-20,,Active
S5354,C1339,Growth,Annual,6.0,278.6,2023-02-23,,Active
S5355,C1340,Starter,Annual,11.0,88.2,2024-03-06,,Active
S5356,C1341,Enterprise,Monthly,7.0,2218.52,2023-03-06,,Active
S5357,C1342,Starter,Annual,8.0,76.44,2023-05-29,,Active
S5358,C1343,Starter,Monthly,7.0,72.52,2024-12-12,,Active
S5359,C1344,Growth,Annual,5.0,262.68,2023-08-31,,Active
S5360,C1345,Enterprise,Monthly,5.0,2098.6,2024-02-03,,Active
S5361,C1346,Growth,Annual,9.0,326.36,2024-10-09,,Active
S5362,C1347,Starter,Annual,7.0,72.52,2023-11-03,,Active
S5363,C1348,Business,Monthly,4.0,618.76,2023-11-16,,Active
S5364,C1349,Enterprise,Annual,9.0,2458.36,2024-02-20,,Active
S5365,C1350,Enterprise,Annual,5.0,1978.68,2023-07-28,,Active
S5366,C1351,Starter,Monthly,8.0,76.44,2023-04-17,,Active
