CustomerID,MRR,HighValueFlag,Logins,ActiveUsers,APICalls,SessionMinutes,AtRiskFlag
C1100,2098.6,High Value,99.0,8.333333333333334,4439.0,1477.6,Not At Risk
C1101,294.52,Standard,166.0,3.739130434782609,20407.0,5621.4,Not At Risk
C1102,2218.52,High Value,329.0,8.227272727272727,27520.0,5287.599999999999,At Risk
C1103,3057.96,High Value,205.0,7.055555555555555,19629.0,4535.4,Not At Risk
C1104,72.52,Standard,14.0,2.0,3179.0,731.8,At Risk
C1105,698.6,Standard,218.0,5.0,40850.0,6135.1,Not At Risk
C1106,199.0,Standard,19.0,2.75,5248.0,1062.8000000000002,At Risk
C1107,64.68,Standard,131.0,5.230769230769231,9557.0,1669.5,At Risk
C1108,68.6,Standard,319.0,8.125,14818.0,5954.4,At Risk
C1109,262.68,Standard,397.0,9.478260869565217,22170.0,5452.4,Not At Risk
C1110,294.52,Standard,70.0,6.166666666666667,7955.0,1803.8,At Risk
C1111,658.68,Standard,97.0,8.142857142857142,13354.0,2055.6,Not At Risk
C1112,72.52,Standard,197.0,7.1875,12639.0,2096.45,At Risk
C1113,2578.28,High Value,75.0,14.5,5941.0,898.3,At Risk
C1114,80.36,Standard,43.0,13.5,7252.0,711.9,At Risk
C1115,88.2,Standard,32.0,2.75,4271.0,919.5,At Risk
C1116,80.36,Standard,3.0,2.0,1626.0,206.0,At Risk
C1117,738.52,High Value,21.0,5.0,1511.0,839.0999999999999,At Risk
C1118,278.6,Standard,25.0,1.5,2732.0,1294.8,At Risk
C1119,72.52,Standard,143.0,4.333333333333333,31571.0,4465.8,Not At Risk
C1120,310.44,Standard,53.0,4.428571428571429,6893.0,2091.4,At Risk
C1121,1858.76,High Value,361.0,9.047619047619047,16589.0,5596.4,Not At Risk
C1122,310.44,Standard,51.0,3.25,11495.0,1316.7,At Risk
C1123,92.12,Standard,103.0,8.0,8648.0,2245.8,Not At Risk
C1124,278.6,Standard,27.0,3.2,5295.0,1553.3,At Risk
C1125,88.2,Standard,171.0,6.928571428571429,12809.0,1938.2,At Risk
C1126,96.04,Standard,198.0,8.733333333333333,18920.0,4027.4,Not At Risk
C1127,278.6,Standard,173.0,9.1,17903.0,2411.2,Not At Risk
C1128,88.2,Standard,325.0,11.6875,29390.0,3862.2,Not At Risk
C1129,858.28,High Value,57.0,4.0,3842.0,1717.3,At Risk
C1130,80.36,Standard,181.0,10.8,18465.0,2618.8,Not At Risk
C1131,525.36,Standard,129.0,3.0952380952380953,23099.0,4145.5,At Risk
C1132,775.04,High Value,37.0,1.0769230769230769,9322.0,2167.1,At Risk
C1133,80.36,Standard,,,,,Not At Risk
C1134,56.84,Standard,453.0,9.666666666666666,31979.0,5912.55,Not At Risk
C1135,246.76,Standard,159.0,6.785714285714286,18102.0,3275.8,Not At Risk
C1136,294.52,Standard,47.0,2.7777777777777777,12966.0,2207.4,At Risk
C1137,342.28,Standard,110.0,7.75,8261.0,1366.6,At Risk
C1138,84.28,Standard,50.0,8.333333333333334,3912.0,601.3000000000001,At Risk
C1139,68.6,Standard,211.0,6.0,33461.0,4953.2,Not At Risk
C1140,278.6,Standard,36.0,3.75,1991.0,781.7,At Risk
C1141,278.6,Standard,136.0,3.0869565217391304,28450.0,6789.9,Not At Risk
C1142,326.36,Standard,270.0,6.863636363636363,27711.0,5823.3,Not At Risk
C1143,88.2,Standard,98.0,3.25,10005.0,2354.3,At Risk
C1144,2698.2,High Value,216.0,10.916666666666666,22209.0,3397.3,Not At Risk
C1145,68.6,Standard,313.0,7.681818181818182,23925.0,6105.9,Not At Risk
C1146,294.52,Standard,132.0,2.8333333333333335,24680.0,5860.7,Not At Risk
C1147,262.68,Standard,173.0,6.071428571428571,13087.0,3993.0,Not At Risk
C1148,778.44,High Value,18.0,1.75,3392.0,832.8000000000001,At Risk
C1149,1978.68,High Value,71.0,1.8571428571428572,23494.0,5919.3,At Risk
C1150,578.84,Standard,,,,,At Risk
C1151,778.44,High Value,132.0,4.529411764705882,10874.0,1887.0,At Risk
C1152,294.52,Standard,19.0,1.4,4282.0,880.5,At Risk
C1153,618.76,Standard,30.0,2.2,7219.0,1156.8,At Risk
C1154,723.3599999999999,Standard,8.0,1.3333333333333333,3649.0,657.9000000000001,At Risk
C1155,2098.6,High Value,97.0,2.875,21903.0,4323.0,Not At Risk
C1156,2218.52,High Value,85.0,4.6,12133.0,2974.4,At Risk
C1157,230.84,Standard,76.0,3.5454545454545454,15644.0,2611.0,At Risk
C1158,84.28,Standard,201.0,4.409090909090909,21070.0,5085.2,Not At Risk
C1159,80.36,Standard,50.0,6.5,5396.0,952.8,At Risk
C1160,68.6,Standard,10.0,4.0,597.0,228.8,At Risk
C1161,246.76,Standard,22.0,1.125,21178.0,2260.1,At Risk
C1162,2098.6,High Value,26.0,3.5,1159.0,551.1999999999999,At Risk
C1163,278.6,Standard,89.0,2.8125,24521.0,3983.4,Not At Risk
C1164,80.36,Standard,255.0,9.266666666666667,27508.0,3747.0,Not At Risk
C1165,72.52,Standard,153.0,9.3,13464.0,2518.4,Not At Risk
C1166,2338.44,High Value,31.0,4.2,7565.0,1049.7,At Risk
C1167,278.6,Standard,66.0,1.2380952380952381,26818.0,4928.8,At Risk
C1168,56.84,Standard,318.0,10.933333333333334,12269.0,3954.2,Not At Risk
C1169,658.68,Standard,16.0,1.75,8651.0,1094.9,At Risk
C1170,76.44,Standard,74.0,7.666666666666667,5555.0,912.7,At Risk
C1171,294.52,Standard,270.0,9.642857142857142,20380.0,3424.1,Not At Risk
C1172,818.36,High Value,23.0,5.0,2296.0,209.9,At Risk
C1173,76.44,Standard,35.0,5.0,6443.0,571.4,At Risk
C1174,230.84,Standard,63.0,5.6,7341.0,935.7,At Risk
C1175,56.84,Standard,103.0,2.35,22317.0,4691.6,Not At Risk
C1176,72.52,Standard,60.0,5.8,1509.0,798.1,At Risk
C1177,72.52,Standard,245.0,11.142857142857142,17908.0,4081.4,Not At Risk
C1178,326.36,Standard,360.0,10.789473684210526,24438.0,4765.1,Not At Risk
C1179,60.76,Standard,30.0,2.0,5745.0,1048.6,At Risk
C1180,68.6,Standard,142.0,8.545454545454545,8996.0,1991.9,At Risk
C1181,230.84,Standard,65.0,8.5,2741.0,725.8,At Risk
C1182,1978.68,High Value,37.0,0.875,14175.0,2507.7,At Risk
C1183,402.8,Standard,52.0,2.888888888888889,10636.0,1341.9,At Risk
C1184,818.36,High Value,192.0,4.714285714285714,21884.0,5316.95,Not At Risk
C1185,294.52,Standard,53.0,5.4,6286.0,1016.2,At Risk
C1186,738.52,High Value,104.0,3.933333333333333,22089.0,3798.4,Not At Risk
C1187,578.84,Standard,209.0,12.2,18117.0,2975.9,Not At Risk
C1188,778.44,High Value,389.0,13.61111111111111,35150.0,4808.3,Not At Risk
C1189,310.44,Standard,19.0,1.8,8596.0,604.3,At Risk
C1190,342.28,Standard,53.0,0.782608695652174,24468.0,5894.7,At Risk
C1191,68.6,Standard,246.0,10.076923076923077,13042.0,3241.4,Not At Risk
C1192,84.28,Standard,62.0,1.7777777777777777,22798.0,4445.2,At Risk
C1193,278.6,Standard,18.0,2.0,5062.0,1498.6,At Risk
C1194,3957.3599999999997,High Value,105.0,6.2,7975.0,1555.5,At Risk
C1195,2578.28,High Value,224.0,6.0,20385.0,4668.9,Not At Risk
C1196,99.96,Standard,6.0,0.5,3590.0,589.8,At Risk
C1197,88.2,Standard,86.0,5.444444444444445,19714.0,2455.6,Not At Risk
C1198,2218.52,High Value,377.0,8.523809523809524,28182.0,5368.0,Not At Risk
C1199,278.6,Standard,12.0,1.0,7005.0,1241.4,At Risk
C1200,60.76,Standard,21.0,3.5,927.0,447.9,At Risk
C1201,1858.76,High Value,20.0,9.0,185.0,337.2,At Risk
C1202,1112.88,High Value,18.0,6.0,1956.0,335.6,At Risk
C1203,858.28,High Value,36.0,7.333333333333333,8114.0,821.0,At Risk
C1204,2338.44,High Value,333.0,8.782608695652174,23455.0,6215.1,Not At Risk
C1205,778.44,High Value,87.0,3.9166666666666665,9564.0,2022.0,At Risk
C1206,738.52,High Value,349.0,9.476190476190476,30924.0,5245.900000000001,Not At Risk
C1207,310.44,Standard,373.0,8.857142857142858,29308.0,5186.3,Not At Risk
C1208,60.76,Standard,21.0,1.0,10291.0,1918.8,At Risk
C1209,658.68,Standard,30.0,2.5,6854.0,1348.6,At Risk
C1210,56.84,Standard,36.0,2.25,5247.0,972.7,At Risk
C1211,294.52,Standard,52.0,8.333333333333334,3102.0,1011.4,At Risk
C1212,538.92,Standard,185.0,5.578947368421052,21498.0,4957.6,Not At Risk
C1213,214.92,Standard,17.0,6.5,826.0,435.3,At Risk
C1214,405.96,Standard,31.0,9.5,4733.0,505.5,At Risk
C1215,60.76,Standard,18.0,1.2,4925.0,1392.0,At Risk
C1216,76.44,Standard,93.0,2.823529411764706,20645.0,4497.7,Not At Risk
C1217,1858.76,High Value,159.0,7.916666666666667,10986.0,2178.9,At Risk
C1218,84.28,Standard,,,,,Not At Risk
C1219,160.72,Standard,147.0,4.0,24237.0,4528.6,At Risk
C1220,658.68,Standard,261.0,6.478260869565218,32557.0,5894.0,Not At Risk
C1221,80.36,Standard,108.0,3.5,15668.0,1797.4,At Risk
C1222,818.36,High Value,53.0,8.75,2364.0,1013.3,At Risk
C1223,278.6,Standard,99.0,12.2,5520.0,1334.6999999999998,Not At Risk
C1224,898.2,High Value,44.0,1.9090909090909092,11157.0,2557.0,At Risk
C1225,129.36,Standard,171.0,6.117647058823529,23197.0,3609.7,At Risk
C1226,246.76,Standard,159.0,4.7,31828.0,4647.5,At Risk
C1227,698.6,Standard,32.0,4.0,5699.0,784.0,At Risk
C1228,230.84,Standard,16.0,0.45454545454545453,6394.0,1897.8,At Risk
C1229,72.52,Standard,82.0,4.454545454545454,18424.0,2733.5,At Risk
C1230,1009.04,High Value,87.0,2.588235294117647,15356.0,2902.1,At Risk
C1231,246.76,Standard,200.0,8.0,10884.0,3253.0,Not At Risk
C1232,738.52,High Value,36.0,7.0,4919.0,1080.1,At Risk
C1233,578.84,Standard,67.0,6.6,3449.0,1336.2,At Risk
C1234,68.6,Standard,437.0,12.7,31970.0,5174.0,Not At Risk
C1235,68.6,Standard,23.0,1.2857142857142858,6153.0,1659.6,At Risk
C1236,72.52,Standard,33.0,4.2,1702.0,653.5,At Risk
C1237,358.2,Standard,147.0,11.5,4833.0,1407.9,Not At Risk
C1238,88.2,Standard,138.0,3.7,15363.0,3540.7,At Risk
C1239,1738.84,High Value,39.0,4.0,3607.0,753.3,At Risk
C1240,64.68,Standard,,,,,At Risk
C1241,2098.6,High Value,201.0,6.9411764705882355,19031.0,2877.0,At Risk
C1242,2648.88,High Value,7.0,1.5,2842.0,584.8,At Risk
C1243,64.68,Standard,247.0,11.23076923076923,5532.0,3747.0,Not At Risk
C1244,72.52,Standard,10.0,3.0,3173.0,382.8,At Risk
C1245,84.28,Standard,8.0,6.0,515.0,135.0,At Risk
C1246,618.76,Standard,212.0,13.636363636363637,14175.0,2650.9,Not At Risk
C1247,738.52,High Value,52.0,6.4,6475.0,1606.8,At Risk
C1248,738.52,High Value,118.0,8.666666666666666,4751.0,2053.2,Not At Risk
C1249,698.6,Standard,287.0,7.0476190476190474,28405.0,5274.0,Not At Risk
C1250,1978.68,High Value,149.0,6.166666666666667,15122.0,3044.2,At Risk
C1251,818.36,High Value,173.0,4.636363636363637,21096.0,5475.3,Not At Risk
C1252,2098.6,High Value,125.0,3.2222222222222223,11778.0,2571.1,At Risk
C1253,156.8,Standard,42.0,3.0,5143.0,1055.7,At Risk
C1254,310.44,Standard,164.0,4.238095238095238,25481.0,4801.8,Not At Risk
C1255,310.44,Standard,3.0,0.0,1816.0,536.9,At Risk
C1256,1978.68,High Value,102.0,5.3,12317.0,2675.6,Not At Risk
C1257,1858.76,High Value,30.0,3.0,2143.0,519.1,At Risk
C1258,658.68,Standard,12.0,0.6,5646.0,743.7,At Risk
C1259,778.44,High Value,65.0,15.333333333333334,2354.0,845.8,At Risk
C1260,818.36,High Value,191.0,5.315789473684211,27285.0,5048.2,Not At Risk
C1261,1978.68,High Value,57.0,7.75,8191.0,345.2,At Risk
C1262,342.28,Standard,145.0,9.555555555555555,6602.0,2172.45,Not At Risk
C1263,2338.44,High Value,,,,,Not At Risk
C1264,698.6,Standard,120.0,9.666666666666666,5937.0,1495.0,Not At Risk
C1265,294.52,Standard,63.0,2.2666666666666666,12507.0,3705.8,At Risk
C1266,342.28,Standard,315.0,9.777777777777779,20437.0,4693.3,Not At Risk
C1267,2098.6,High Value,39.0,3.6666666666666665,3648.0,589.0,At Risk
C1268,80.36,Standard,248.0,8.529411764705882,15619.0,5012.1,Not At Risk
C1269,294.52,Standard,84.0,3.6666666666666665,8242.0,2310.9,At Risk
C1270,294.52,Standard,114.0,9.857142857142858,7061.0,1771.6,Not At Risk
C1271,294.52,Standard,18.0,14.0,5502.0,424.2,At Risk
C1272,2218.52,High Value,38.0,1.6666666666666667,10902.0,2523.5,At Risk
C1273,818.36,High Value,175.0,3.772727272727273,33715.0,5628.7,Not At Risk
C1274,342.28,Standard,31.0,3.0,1180.0,638.4000000000001,At Risk
C1275,1499.0,High Value,139.0,7.0,11043.0,2475.4,At Risk
C1276,246.76,Standard,55.0,6.2,4277.0,980.6,At Risk
C1277,278.6,Standard,89.0,2.1578947368421053,16519.0,3345.1,At Risk
C1278,72.52,Standard,30.0,1.4545454545454546,7009.0,1913.0,At Risk
C1279,80.36,Standard,29.0,1.7142857142857142,3445.0,1172.6,At Risk
C1280,278.6,Standard,160.0,9.333333333333334,11578.0,2001.1,Not At Risk
C1281,2098.6,High Value,17.0,0.5,6342.0,1384.6,At Risk
C1282,1978.68,High Value,11.0,7.0,333.0,297.4,At Risk
C1283,84.28,Standard,109.0,2.2857142857142856,33201.0,5185.6,Not At Risk
C1284,1978.68,High Value,23.0,16.0,567.0,301.8,At Risk
C1285,778.44,High Value,44.0,0.65,25716.0,5267.7,At Risk
C1286,326.36,Standard,108.0,4.266666666666667,15708.0,4471.4,Not At Risk
C1287,230.84,Standard,35.0,0.6,9304.0,2185.2,At Risk
C1288,1618.92,High Value,65.0,9.25,4303.0,1241.9,At Risk
C1289,262.68,Standard,99.0,2.3043478260869565,18126.0,5878.4,Not At Risk
C1290,2578.28,High Value,429.0,13.15,19734.0,5312.5,At Risk
C1291,60.76,Standard,38.0,16.0,1083.0,559.7,At Risk
C1292,262.68,Standard,148.0,13.428571428571429,7588.0,1746.3,Not At Risk
C1293,278.6,Standard,26.0,1.7142857142857142,7099.0,1628.1000000000001,At Risk
C1294,358.2,Standard,54.0,4.0,5014.0,954.1,At Risk
C1295,278.6,Standard,34.0,2.375,10257.0,1979.5,At Risk
C1296,658.68,Standard,270.0,7.260869565217392,35849.0,5533.3,Not At Risk
C1297,698.6,Standard,249.0,8.0625,21600.0,3892.8,Not At Risk
C1298,56.84,Standard,86.0,2.4761904761904763,33580.0,5773.7,Not At Risk
C1299,374.12,Standard,90.0,2.2941176470588234,15257.0,4051.2,Not At Risk
C1300,278.6,Standard,380.0,12.052631578947368,34583.0,4866.2,Not At Risk
C1301,230.84,Standard,11.0,0.4,6813.0,812.3000000000001,At Risk
C1302,778.44,High Value,77.0,6.25,8309.0,1825.5,At Risk
C1303,72.52,Standard,114.0,3.2941176470588234,25160.0,3767.85,Not At Risk
C1304,64.68,Standard,67.0,2.6666666666666665,19245.0,3904.9,At Risk
C1305,262.68,Standard,3.0,0.5,1195.0,452.9,At Risk
C1306,72.52,Standard,58.0,3.5714285714285716,1996.0,1826.45,At Risk
C1307,278.6,Standard,318.0,12.9375,23183.0,3595.7,Not At Risk
C1308,2458.36,High Value,20.0,1.5,8021.0,1899.9,At Risk
C1309,80.36,Standard,183.0,4.6521739130434785,29738.0,6219.4,Not At Risk
C1310,778.44,High Value,45.0,4.0,13369.0,1260.3,At Risk
C1311,64.68,Standard,9.0,0.75,3374.0,688.5,At Risk
C1312,326.36,Standard,61.0,2.076923076923077,15900.0,4051.4,At Risk
C1313,1978.68,High Value,315.0,9.263157894736842,17519.0,5072.05,Not At Risk
C1314,310.44,Standard,328.0,7.541666666666667,27367.0,6332.6,Not At Risk
C1315,52.92,Standard,92.0,9.0,7901.0,1652.9,At Risk
C1316,342.28,Standard,56.0,1.411764705882353,23575.0,4249.55,At Risk
C1317,326.36,Standard,29.0,3.0,6862.0,1219.8,At Risk
C1318,64.68,Standard,130.0,4.375,15540.0,4100.8,Not At Risk
C1319,278.6,Standard,59.0,6.4,7850.0,1122.0,At Risk
C1320,326.36,Standard,108.0,7.875,8942.0,1037.3,At Risk
C1321,68.6,Standard,58.0,6.8,6043.0,1281.7,At Risk
C1322,294.52,Standard,187.0,6.4375,14926.0,3556.0,Not At Risk
C1323,68.6,Standard,119.0,4.733333333333333,25779.0,3884.7,Not At Risk
C1324,2458.36,High Value,464.0,12.217391304347826,27156.0,6137.2,Not At Risk
C1325,2338.44,High Value,91.0,2.4,20107.0,5372.2,Not At Risk
C1326,76.44,Standard,375.0,9.090909090909092,28413.0,5655.7,Not At Risk
C1327,2098.6,High Value,281.0,7.5,35133.0,6907.5,Not At Risk
C1328,342.28,Standard,115.0,6.0,6444.0,2256.3,At Risk
C1329,76.44,Standard,23.0,1.1428571428571428,12493.0,1366.4,At Risk
C1330,538.92,Standard,61.0,1.25,21236.0,5245.4,At Risk
C1331,310.44,Standard,162.0,5.117647058823529,11401.0,2798.7999999999997,At Risk
C1332,618.76,Standard,47.0,9.5,3926.0,645.0999999999999,At Risk
C1333,278.6,Standard,156.0,6.285714285714286,10453.0,2117.0,At Risk
C1334,1978.68,High Value,,,,,Not At Risk
C1335,778.44,High Value,371.0,13.235294117647058,32222.0,3873.7,Not At Risk
C1336,658.68,Standard,135.0,3.5789473684210527,24018.0,4746.2,Not At Risk
C1337,230.84,Standard,24.0,0.5833333333333334,8117.0,2377.6,At Risk
C1338,342.28,Standard,324.0,8.80952380952381,25562.0,4094.25,Not At Risk
C1339,278.6,Standard,199.0,5.086956521739131,39221.0,5427.7,Not At Risk
C1340,88.2,Standard,167.0,10.5,12606.0,2544.1,Not At Risk
C1341,2218.52,High Value,343.0,8.363636363636363,22093.0,5804.1,Not At Risk
C1342,76.44,Standard,133.0,3.75,30750.0,5193.0,Not At Risk
C1343,72.52,Standard,6.0,2.0,646.0,216.6,At Risk
C1344,262.68,Standard,327.0,10.588235294117647,19815.0,4157.9,Not At Risk
C1345,2098.6,High Value,260.0,11.727272727272727,7106.0,2910.7,Not At Risk
C1346,326.36,Standard,56.0,15.0,2600.0,650.0,At Risk
C1347,72.52,Standard,260.0,9.571428571428571,19501.0,3277.2,Not At Risk
C1348,618.76,Standard,91.0,3.4285714285714284,17783.0,3216.3,Not At Risk
C1349,2458.36,High Value,77.0,4.090909090909091,13157.0,2811.2,At Risk
C1350,1978.68,High Value,340.0,11.0,13178.0,5130.8,Not At Risk
C1351,76.44,Standard,100.0,2.380952380952381,25714.0,4817.0,Not At Risk
C1352,2578.28,High Value,95.0,6.0,9294.0,2619.7,Not At Risk
C1353,68.6,Standard,,,,,Not At Risk
C1354,99.96,Standard,378.0,7.708333333333333,28945.0,5921.9,Not At Risk
C1355,698.6,Standard,26.0,4.0,549.0,642.7,At Risk
C1356,618.76,Standard,91.0,4.636363636363637,15046.0,2665.6,Not At Risk
C1357,262.68,Standard,233.0,5.583333333333333,27064.0,5955.8,Not At Risk
C1358,64.68,Standard,179.0,5.75,15750.0,2483.05,At Risk
C1359,658.68,Standard,,,,,Not At Risk
C1360,60.76,Standard,31.0,3.0,4024.0,1431.0,At Risk
C1361,658.68,Standard,57.0,7.0,2829.0,666.7,At Risk
C1362,64.68,Standard,272.0,6.181818181818182,26479.0,5805.2,Not At Risk
C1363,310.44,Standard,34.0,3.2,5301.0,1284.0,At Risk
C1364,1978.68,High Value,159.0,6.0,8615.0,2987.35,At Risk
C1365,778.44,High Value,141.0,11.571428571428571,9231.0,2000.6,Not At Risk
C1366,278.6,Standard,107.0,8.428571428571429,7097.0,2152.4,Not At Risk
C1367,76.44,Standard,30.0,9.5,1044.0,394.4,At Risk
C1368,52.92,Standard,59.0,7.75,3218.0,802.4,At Risk
