CustomerID,TotalMRR,CustomerValueSegment
C1359,658.68,"Low Value"
C1361,658.68,"Low Value"
C1370,658.68,"Low Value"
C1399,658.68,"Low Value"
C1416,658.68,"Low Value"
C1005,618.76,"Low Value"
C1085,618.76,"Low Value"
C1091,618.76,"Low Value"
C1153,618.76,"Low Value"
C1246,618.76,"Low Value"
C1332,618.76,"Low Value"
C1348,618.76,"Low Value"
C1356,618.76,"Low Value"
C1150,578.84,"Low Value"
C1187,578.84,"Low Value"
C1233,578.84,"Low Value"
C1212,538.92,"Low Value"
C1330,538.92,"Low Value"
C1131,525.36,"Low Value"
C1041,437.8,"Low Value"
C1214,405.96,"Low Value"
C1183,402.8,"Low Value"
C1052,390.04,"Low Value"
C1378,383.20000000000005,"Low Value"
C1299,374.12,"Low Value"
C1062,358.2,"Low Value"
C1237,358.2,"Low Value"
C1294,358.2,"Low Value"
C1033,342.28,"Low Value"
C1137,342.28,"Low Value"
C1190,342.28,"Low Value"
C1262,342.28,"Low Value"
C1266,342.28,"Low Value"
C1274,342.28,"Low Value"
C1316,342.28,"Low Value"
C1328,342.28,"Low Value"
C1338,342.28,"Low Value"
C1401,342.28,"Low Value"
C1019,326.36,"Low Value"
C1040,326.36,"Low Value"
C1067,326.36,"Low Value"
C1071,326.36,"Low Value"
C1090,326.36,"Low Value"
C1142,326.36,"Low Value"
C1178,326.36,"Low Value"
C1286,326.36,"Low Value"
C1312,326.36,"Low Value"
C1317,326.36,"Low Value"
C1320,326.36,"Low Value"
C1346,326.36,"Low Value"
C1396,326.36,"Low Value"
C1398,326.36,"Low Value"
C1410,326.36,"Low Value"
C1414,326.36,"Low Value"
C1417,326.36,"Low Value"
C1418,326.36,"Low Value"
C1053,310.44,"Low Value"
C1061,310.44,"Low Value"
C1080,310.44,"Low Value"
C1088,310.44,"Low Value"
C1096,310.44,"Low Value"
C1120,310.44,"Low Value"
C1122,310.44,"Low Value"
C1189,310.44,"Low Value"
C1207,310.44,"Low Value"
C1254,310.44,"Low Value"
C1255,310.44,"Low Value"
C1314,310.44,"Low Value"
C1331,310.44,"Low Value"
C1363,310.44,"Low Value"
C1376,310.44,"Low Value"
C1387,310.44,"Low Value"
C1388,310.44,"Low Value"
C1028,294.52,"Low Value"
C1031,294.52,"Low Value"
C1074,294.52,"Low Value"
C1082,294.52,"Low Value"
C1084,294.52,"Low Value"
C1101,294.52,"Low Value"
C1110,294.52,"Low Value"
C1136,294.52,"Low Value"
C1146,294.52,"Low Value"
C1152,294.52,"Low Value"
C1171,294.52,"Low Value"
C1185,294.52,"Low Value"
C1211,294.52,"Low Value"
C1265,294.52,"Low Value"
C1269,294.52,"Low Value"
C1270,294.52,"Low Value"
C1271,294.52,"Low Value"
C1322,294.52,"Low Value"
C1372,294.52,"Low Value"
C1400,294.52,"Low Value"
C1419,294.52,"Low Value"
C1001,278.6,"Low Value"
C1003,278.6,"Low Value"
C1010,278.6,"Low Value"
C1072,278.6,"Low Value"
C1118,278.6,"Low Value"
C1124,278.6,"Low Value"
C1127,278.6,"Low Value"
C1140,278.6,"Low Value"
C1141,278.6,"Low Value"
C1163,278.6,"Low Value"
C1167,278.6,"Low Value"
C1193,278.6,"Low Value"
C1199,278.6,"Low Value"
C1223,278.6,"Low Value"
C1277,278.6,"Low Value"
C1280,278.6,"Low Value"
C1293,278.6,"Low Value"
C1295,278.6,"Low Value"
C1300,278.6,"Low Value"
C1307,278.6,"Low Value"
C1319,278.6,"Low Value"
C1333,278.6,"Low Value"
C1339,278.6,"Low Value"
C1366,278.6,"Low Value"
C1390,278.6,"Low Value"
C1393,278.6,"Low Value"
C1394,278.6,"Low Value"
C1403,278.6,"Low Value"
C1406,278.6,"Low Value"
C1420,278.6,"Low Value"
C1011,262.68,"Low Value"
C1025,262.68,"Low Value"
C1051,262.68,"Low Value"
C1068,262.68,"Low Value"
C1109,262.68,"Low Value"
C1147,262.68,"Low Value"
C1289,262.68,"Low Value"
C1292,262.68,"Low Value"
C1305,262.68,"Low Value"
C1344,262.68,"Low Value"
C1357,262.68,"Low Value"
C1371,262.68,"Low Value"
C1402,262.68,"Low Value"
C1411,262.68,"Low Value"
C1002,246.76,"Low Value"
C1015,246.76,"Low Value"
C1024,246.76,"Low Value"
C1038,246.76,"Low Value"
C1044,246.76,"Low Value"
C1135,246.76,"Low Value"
C1161,246.76,"Low Value"
C1226,246.76,"Low Value"
C1231,246.76,"Low Value"
C1276,246.76,"Low Value"
C1405,246.76,"Low Value"
C1413,246.76,"Low Value"
C1157,230.84,"Low Value"
C1174,230.84,"Low Value"
C1181,230.84,"Low Value"
C1228,230.84,"Low Value"
C1287,230.84,"Low Value"
C1301,230.84,"Low Value"
C1337,230.84,"Low Value"
C1213,214.92,"Low Value"
C1106,199,"Low Value"
C1219,160.72,"Low Value"
C1253,156.8,"Low Value"
C1225,129.36,"Low Value"
C1196,99.96,"Low Value"
C1354,99.96,"Low Value"
C1126,96.04,"Low Value"
C1123,92.12,"Low Value"
C1383,92.12,"Low Value"
C1066,88.2,"Low Value"
C1099,88.2,"Low Value"
C1115,88.2,"Low Value"
C1125,88.2,"Low Value"
C1128,88.2,"Low Value"
C1143,88.2,"Low Value"
C1197,88.2,"Low Value"
C1238,88.2,"Low Value"
C1340,88.2,"Low Value"
C1073,84.28,"Low Value"
C1138,84.28,"Low Value"
C1158,84.28,"Low Value"
C1192,84.28,"Low Value"
C1218,84.28,"Low Value"
C1245,84.28,"Low Value"
C1283,84.28,"Low Value"
C1004,80.36,"Low Value"
C1036,80.36,"Low Value"
C1047,80.36,"Low Value"
C1060,80.36,"Low Value"
C1069,80.36,"Low Value"
C1077,80.36,"Low Value"
C1083,80.36,"Low Value"
C1114,80.36,"Low Value"
C1116,80.36,"Low Value"
C1130,80.36,"Low Value"
C1133,80.36,"Low Value"
C1159,80.36,"Low Value"
C1164,80.36,"Low Value"
C1221,80.36,"Low Value"
C1268,80.36,"Low Value"
C1279,80.36,"Low Value"
C1309,80.36,"Low Value"
C1021,76.44,"Low Value"
C1039,76.44,"Low Value"
C1057,76.44,"Low Value"
C1078,76.44,"Low Value"
C1170,76.44,"Low Value"
C1173,76.44,"Low Value"
C1216,76.44,"Low Value"
C1326,76.44,"Low Value"
C1329,76.44,"Low Value"
C1342,76.44,"Low Value"
C1351,76.44,"Low Value"
C1367,76.44,"Low Value"
C1089,72.52,"Low Value"
C1095,72.52,"Low Value"
C1104,72.52,"Low Value"
C1112,72.52,"Low Value"
C1119,72.52,"Low Value"
C1165,72.52,"Low Value"
C1176,72.52,"Low Value"
C1177,72.52,"Low Value"
C1229,72.52,"Low Value"
C1236,72.52,"Low Value"
C1244,72.52,"Low Value"
C1278,72.52,"Low Value"
C1303,72.52,"Low Value"
C1306,72.52,"Low Value"
C1343,72.52,"Low Value"
C1347,72.52,"Low Value"
C1386,72.52,"Low Value"
C1014,68.6,"Low Value"
C1020,68.6,"Low Value"
C1055,68.6,"Low Value"
C1064,68.6,"Low Value"
C1092,68.6,"Low Value"
C1097,68.6,"Low Value"
C1108,68.6,"Low Value"
C1139,68.6,"Low Value"
C1145,68.6,"Low Value"
C1160,68.6,"Low Value"
C1180,68.6,"Low Value"
C1191,68.6,"Low Value"
C1234,68.6,"Low Value"
C1235,68.6,"Low Value"
C1321,68.6,"Low Value"
C1323,68.6,"Low Value"
C1353,68.6,"Low Value"
C1375,68.6,"Low Value"
C1382,68.6,"Low Value"
C1391,68.6,"Low Value"
C1408,68.6,"Low Value"
C1409,68.6,"Low Value"
C1022,64.68,"Low Value"
C1058,64.68,"Low Value"
C1070,64.68,"Low Value"
C1081,64.68,"Low Value"
C1107,64.68,"Low Value"
C1240,64.68,"Low Value"
C1243,64.68,"Low Value"
C1304,64.68,"Low Value"
C1311,64.68,"Low Value"
C1318,64.68,"Low Value"
C1358,64.68,"Low Value"
C1362,64.68,"Low Value"
C1392,64.68,"Low Value"
C1017,60.76,"Low Value"
C1032,60.76,"Low Value"
C1042,60.76,"Low Value"
C1087,60.76,"Low Value"
C1179,60.76,"Low Value"
C1200,60.76,"Low Value"
C1208,60.76,"Low Value"
C1215,60.76,"Low Value"
C1291,60.76,"Low Value"
C1360,60.76,"Low Value"
C1373,60.76,"Low Value"
C1379,60.76,"Low Value"
C1063,56.84,"Low Value"
C1134,56.84,"Low Value"
C1168,56.84,"Low Value"
C1175,56.84,"Low Value"
C1210,56.84,"Low Value"
C1298,56.84,"Low Value"
C1315,52.92,"Low Value"
C1368,52.92,"Low Value"
