TicketID,CustomerID,OpenedDate,Category,Priority,ResolutionHours,SatisfactionScore
T20254,C1371,2024-10-18,Billing,Medium,23.8,10.0
T20255,C1249,2024-05-13,Technical,Medium,42.1,6.0
T20256,C1321,2024-10-21,Billing,Low,51.5,2.0
T20257,C1382,2023-06-24,Billing,High,11.9,8.0
T20258,C1411,2023-01-20,Billing,Low,52.9,3.0
T20259,C1264,2023-04-17,Billing,Medium,17.2,10.0
T20260,C1323,2023-09-09,Onboarding,Low,66.8,7.0
T20261,C1075,2024-07-22,Feature Request,Medium,6.0,10.0
T20262,C1355,2024-12-22,Onboarding,Medium,22.2,4.0
T20263,C1144,2023-10-31,Outage,High,14.1,6.0
T20264,C1138,2024-04-23,Technical,Low,51.9,4.0
T20265,C1298,2024-10-31,Onboarding,Medium,21.5,10.0
T20266,C1193,2023-10-21,Feature Request,High,4.0,5.0
T20267,C1163,2023-09-05,Billing,High,26.0,2.0
T20268,C1049,2024-07-25,Billing,Critical,0.2,9.0
T20269,C1410,2024-11-30,Onboarding,High,3.7,5.0
T20270,C1007,2023-04-06,Billing,Critical,9.4,7.0
T20271,C1323,2023-10-31,Billing,Medium,23.4,9.0
T20272,C1264,2024-09-11,Technical,Low,53.5,2.0
T20273,C1187,2024-12-29,Technical,Critical,12.7,6.0
T20274,C1317,2024-12-27,Onboarding,Critical,0.7,9.0
T20275,C1001,2023-10-24,Technical,Low,63.1,4.0
T20276,C1383,2023-08-03,Billing,Low,79.9,7.0
T20277,C1104,2023-10-02,Technical,Low,68.5,2.0
T20278,C1368,2024-12-10,Outage,High,17.6,8.0
T20279,C1366,2023-09-29,Billing,Low,47.2,6.0
T20280,C1331,2023-12-17,Technical,High,15.7,7.0
T20281,C1358,2023-05-21,Feature Request,Low,42.1,3.0
T20282,C1415,2023-03-23,Onboarding,High,20.4,3.0
T20283,C1308,2023-03-14,Technical,Low,60.55,6.0
T20284,C1338,2024-04-25,Billing,Critical,20.5,10.0
T20285,C1239,2023-10-08,Onboarding,Low,47.3,6.0
T20286,C1037,2023-07-31,Onboarding,Medium,29.4,5.0
T20287,C1093,2024-12-06,Billing,High,6.6,6.0
T20288,C1293,2023-01-28,Technical,Medium,23.1,6.0
T20289,C1377,2023-11-07,Onboarding,Medium,52.4,8.0
T20290,C1272,2023-03-25,Outage,Medium,28.2,3.0
T20291,C1290,2023-05-27,Feature Request,High,13.5,10.0
T20292,C1317,2024-12-19,Feature Request,Medium,22.6,5.0
T20293,C1302,2023-10-17,Billing,Low,59.4,6.0
T20294,C1102,2023-08-17,Feature Request,Medium,32.2,6.0
T20295,C1067,2023-04-08,Feature Request,Critical,10.3,7.0
T20296,C1152,2024-05-19,Billing,Low,61.0,3.0
T20297,C1112,2024-05-03,Onboarding,Low,63.3,4.0
T20298,C1333,2024-09-14,Technical,Medium,19.9,4.0
T20299,C1292,2023-05-03,Onboarding,Low,70.2,6.0
T20300,C1251,2024-02-09,Billing,Critical,4.6,7.5
T20301,C1244,2024-12-02,Billing,High,16.6,8.0
T20302,C1375,2023-04-27,Technical,Low,63.7,4.0
T20303,C1379,2023-11-25,Feature Request,Medium,29.6,7.0
T20304,C1197,2023-07-09,Outage,High,25.0,4.0
T20305,C1116,2023-08-10,Technical,Medium,27.9,1.0
T20306,C1215,2024-08-21,Billing,Medium,43.7,5.0
T20307,C1040,2024-07-21,Feature Request,High,17.2,9.0
T20308,C1125,2024-09-09,Technical,Low,69.9,5.0
T20309,C1231,2024-09-30,Technical,Low,49.6,6.0
T20310,C1175,2024-02-14,Billing,Medium,51.0,5.0
T20311,C1221,2024-10-22,Technical,High,10.8,5.0
T20312,C1194,2024-04-12,Onboarding,Low,54.6,7.0
T20313,C1339,2024-07-23,Onboarding,Medium,33.8,3.0
T20314,C1318,2024-04-16,Onboarding,Low,51.4,3.0
T20315,C1329,2023-10-06,Feature Request,Medium,17.5,5.0
T20316,C1242,2024-10-01,Feature Request,High,12.4,5.0
T20317,C1312,2023-12-22,Technical,High,28.2,3.0
T20318,C1059,2024-04-28,Technical,Medium,20.1,9.0
T20319,C1060,2023-08-19,Feature Request,Low,49.8,4.0
T20320,C1316,2024-04-22,Feature Request,Medium,18.3,3.0
T20321,C1313,2024-03-23,Technical,Low,84.4,7.0
T20322,C1156,2024-09-30,Technical,High,3.5,7.0
T20323,C1112,2023-12-18,Billing,High,10.4,8.0
T20324,C1298,2023-05-24,Billing,Low,66.9,2.0
T20325,C1054,2024-05-28,Technical,High,0.2,6.0
T20326,C1078,2024-10-16,Billing,Low,58.5,5.0
T20327,C1165,2023-01-08,Technical,Low,70.9,5.0
T20328,C1192,2023-05-18,Billing,Low,65.5,7.0
T20329,C1113,2024-02-18,Onboarding,Low,58.6,6.0
T20330,C1129,2024-10-19,Billing,Critical,10.0,9.0
T20331,C1327,2024-01-09,Feature Request,Low,62.1,7.0
T20332,C1157,2023-04-09,Technical,Medium,21.7,5.0
T20333,C1333,2023-12-21,Onboarding,High,26.5,6.0
T20334,C1046,2023-07-18,Technical,High,15.1,7.0
T20335,C1363,2024-09-11,Technical,High,20.2,9.0
T20336,C1319,2024-11-29,Technical,Medium,30.2,5.0
T20337,C1372,2024-01-31,Onboarding,Medium,28.6,5.0
T20338,C1398,2023-04-16,Feature Request,Medium,24.1,6.0
T20339,C1177,2023-03-20,Feature Request,High,26.0,6.0
T20340,C1235,2024-12-27,Technical,High,2.3,10.0
T20341,C1016,2023-03-15,Onboarding,Critical,8.2,7.0
T20342,C1261,2024-10-27,Technical,High,12.7,4.0
T20343,C1253,2024-05-16,Billing,Low,70.5,7.0
T20344,C1027,2023-12-01,Billing,Critical,2.7,10.0
T20345,C1215,2023-08-05,Feature Request,Medium,28.1,5.0
T20346,C1052,2024-04-29,Outage,Critical,0.4,4.0
T20347,C1049,2024-09-08,Outage,Medium,25.1,4.0
T20348,C1014,2023-08-15,Billing,Low,65.0,5.0
T20349,C1384,2024-04-28,Onboarding,High,0.5,7.0
T20350,C1191,2023-12-01,Technical,Critical,4.8,6.0
T20351,C1341,2023-06-05,Outage,High,19.5,5.0
T20352,C1126,2024-08-21,Technical,Low,69.2,5.0
T20353,C1143,2024-07-11,Billing,Low,47.3,2.0
T20354,C1339,2023-09-29,Technical,Medium,25.2,4.0
T20355,C1266,2023-02-23,Technical,Low,54.9,5.0
T20356,C1063,2024-06-10,Outage,High,31.4,6.0
T20357,C1155,2024-05-17,Technical,Medium,21.7,10.0
T20358,C1198,2023-11-02,Outage,Low,62.0,6.0
T20359,C1080,2023-02-01,Billing,Medium,25.9,6.0
T20360,C1276,2023-01-27,Feature Request,High,2.7,7.0
T20361,C1301,2023-10-25,Billing,High,11.7,7.0
T20362,C1072,2024-02-06,Technical,Low,73.0,4.0
T20363,C1186,2024-11-29,Technical,Medium,32.4,6.0
T20364,C1105,2023-02-04,Feature Request,Low,51.1,5.0
T20365,C1060,2024-11-03,Feature Request,Low,64.4,7.0
T20366,C1097,2023-12-23,Technical,Medium,7.5,8.0
T20367,C1061,2023-12-09,Billing,Medium,35.6,8.0
T20368,C1214,2023-06-01,Feature Request,Medium,13.4,9.0
T20369,C1076,2024-09-13,Outage,Low,68.2,4.0
T20370,C1265,2023-01-15,Technical,Medium,46.9,3.0
T20371,C1116,2023-12-11,Onboarding,Medium,33.8,5.0
T20372,C1229,2023-03-18,Feature Request,Low,56.6,2.0
T20373,C1126,2024-07-17,Outage,Medium,31.0,3.0
T20374,C1015,2024-07-10,Technical,Low,49.4,4.0
T20375,C1370,2024-03-12,Technical,Medium,40.0,4.0
T20376,C1392,2023-12-26,Outage,Low,59.6,1.0
T20377,C1313,2024-12-04,Onboarding,Medium,18.9,10.0
T20378,C1206,2024-10-14,Technical,Medium,30.9,7.0
T20379,C1146,2023-01-13,Billing,Medium,18.5,5.0
T20380,C1233,2023-11-20,Technical,Medium,17.5,8.0
T20381,C1225,2023-07-15,Technical,Medium,43.7,5.0
T20382,C1380,2024-09-10,Billing,Medium,25.2,6.0
T20383,C1014,2023-04-23,Feature Request,Critical,9.1,7.0
T20384,C1312,2023-10-06,Billing,Low,42.4,5.0
T20385,C1386,2024-05-19,Onboarding,Low,59.9,4.0
T20386,C1127,2023-07-12,Feature Request,Medium,35.9,6.0
T20387,C1167,2023-09-27,Billing,Medium,36.9,5.0
T20388,C1130,2024-10-11,Outage,Low,46.9,9.0
T20389,C1016,2023-05-27,Technical,Low,69.3,7.0
T20390,C1086,2024-08-27,Billing,Medium,29.7,4.0
T20391,C1276,2023-02-07,Technical,Critical,0.1,8.0
T20392,C1107,2023-12-11,Technical,High,18.3,7.0
T20393,C1267,2023-04-19,Onboarding,Low,65.1,5.0
T20394,C1112,2024-03-05,Billing,Medium,56.4,5.0
T20395,C1025,2023-11-17,Billing,Low,61.8,2.0
T20396,C1056,2023-09-09,Onboarding,Low,53.8,5.0
T20397,C1356,2024-05-12,Outage,Low,48.9,7.0
T20398,C1073,2023-07-22,Feature Request,Low,62.5,3.0
T20399,C1254,2023-02-24,Billing,High,14.1,2.0
T20400,C1003,2024-05-25,Technical,Low,33.0,2.0
T20401,C1082,2024-07-15,Onboarding,Low,64.5,4.0
T20402,C1335,2024-10-16,Technical,High,24.2,2.0
T20403,C1078,2024-11-10,Technical,High,4.1,9.0
T20404,C1053,2024-07-21,Onboarding,Critical,8.1,7.0
T20405,C1284,2023-12-09,Feature Request,Low,49.4,5.0
T20406,C1234,2024-11-19,Technical,Critical,4.5,8.0
T20408,C1328,2023-05-29,Technical,Low,67.7,4.0
T20409,C1313,2024-07-20,Feature Request,Medium,34.3,5.0
T20410,C1364,2024-10-04,Outage,Low,49.8,3.0
T20411,C1322,2024-02-29,Onboarding,Low,53.0,6.0
T20412,C1379,2023-02-22,Onboarding,Low,57.1,4.0
T20413,C1093,2023-12-07,Technical,Low,57.2,3.0
T20414,C1305,2024-02-22,Technical,Critical,2.2,8.0
T20415,C1033,2023-07-25,Outage,Low,68.3,5.0
T20416,C1192,2024-04-21,Technical,High,6.4,4.0
T20417,C1050,2023-01-07,Billing,High,0.9,6.0
T20418,C1414,2024-07-25,Outage,Medium,25.5,6.0
T20419,C1279,2024-02-07,Onboarding,Medium,15.3,7.0
T20420,C1207,2023-06-29,Billing,Low,66.2,2.0
T20421,C1022,2024-11-18,Billing,Low,59.2,3.0
T20422,C1195,2024-01-19,Onboarding,Medium,23.9,8.0
T20423,C1035,2024-05-14,Technical,Low,61.2,5.0
T20424,C1082,2023-09-21,Billing,Medium,34.2,5.0
T20425,C1088,2023-09-21,Feature Request,Medium,24.6,7.0
T20426,C1152,2023-07-07,Technical,Medium,31.1,6.0
T20427,C1078,2024-09-07,Feature Request,High,10.2,6.0
T20428,C1264,2024-02-25,Onboarding,Medium,18.6,8.0
T20429,C1131,2024-10-07,Onboarding,Medium,36.0,5.0
T20430,C1176,2024-07-13,Feature Request,Medium,29.0,1.0
T20431,C1052,2024-09-19,Technical,Medium,38.8,5.0
T20432,C1245,2024-05-17,Technical,Low,60.2,4.0
T20433,C1044,2024-05-13,Feature Request,High,3.9,5.0
T20434,C1293,2023-08-14,Feature Request,Low,64.1,6.0
T20435,C1084,2024-01-25,Technical,High,5.9,9.0
T20436,C1221,2024-02-14,Technical,Critical,2.1,7.0
T20437,C1246,2023-04-10,Onboarding,Medium,46.7,8.0
T20438,C1093,2024-03-10,Feature Request,Medium,25.7,5.0
T20439,C1061,2023-11-21,Technical,Medium,39.3,5.0
T20440,C1276,2024-05-13,Billing,High,12.7,5.0
T20441,C1253,2024-06-26,Technical,Medium,31.0,6.0
T20442,C1359,2024-05-28,Technical,High,1.5,9.0
T20443,C1364,2024-05-27,Outage,High,11.1,6.0
T20444,C1333,2023-01-01,Technical,Critical,15.2,4.0
T20445,C1025,2024-11-20,Feature Request,Medium,33.3,4.0
T20446,C1391,2024-09-26,Billing,High,6.8,4.0
T20447,C1341,2024-06-27,Technical,Medium,30.95,3.0
T20448,C1368,2023-11-17,Onboarding,High,20.8,7.0
T20449,C1323,2024-02-15,Feature Request,Low,56.1,3.0
T20450,C1304,2023-02-15,Technical,Medium,50.6,1.0
T20451,C1005,2023-12-13,Outage,Low,62.1,8.0
T20452,C1128,2024-11-08,Technical,High,18.4,5.0
T20453,C1280,2024-08-31,Onboarding,Low,55.0,2.0
T20454,C1229,2024-08-06,Feature Request,Medium,27.4,1.0
