RiskRank,CustomerID,Status,TotalMRR,AvgLogins,TicketCount,AvgResolutionHours,StatusRisk,LowLoginRisk,HighTicketRisk,SlowResolutionRisk,RiskScore,RiskLevel
44,C1267,Churned,2098.6,6.5,5.0,38.980000000000004,1,0,1,0,2,Medium Risk
45,C1369,Active,2098.6,19.5,5.0,46.2,0,0,1,1,2,Medium Risk
46,C1149,Active,1978.68,3.380952380952381,5.0,31.920000000000005,0,1,1,0,2,Medium Risk
47,C1250,Paused,1978.68,12.416666666666666,5.0,37.32000000000001,1,0,1,0,2,Medium Risk
48,C1282,Active,1978.68,11.0,5.0,51.279999999999994,0,0,1,1,2,Medium Risk
49,C1313,Active,1978.68,16.57894736842105,9.0,45.12222222222222,0,0,1,1,2,Medium Risk
50,C1364,Paused,1978.68,12.23076923076923,4.0,32.0,1,0,1,0,2,Medium Risk
51,C1013,Active,1931.28,0.0,1.0,71.1,0,1,0,1,2,Medium Risk
52,C1201,Active,1858.76,20.0,4.0,49.85,0,0,1,1,2,Medium Risk
53,C1217,Churned,1858.76,13.25,5.0,34.739999999999995,1,0,1,0,2,Medium Risk
54,C1257,Churned,1858.76,7.5,5.0,28.160000000000004,1,0,1,0,2,Medium Risk
55,C1239,Churned,1738.84,9.75,5.0,34.019999999999996,1,0,1,0,2,Medium Risk
56,C1380,Churned,1618.92,14.0,4.0,32.65,1,0,1,0,2,Medium Risk
57,C1086,Active,818.36,2.1904761904761907,2.0,51.25,0,1,0,1,2,Medium Risk
58,C1222,Active,818.36,13.25,4.0,51.9,0,0,1,1,2,Medium Risk
59,C1260,Active,818.36,10.052631578947368,4.0,47.8,0,0,1,1,2,Medium Risk
60,C1023,Active,778.44,2.8,5.0,39.28,0,1,1,0,2,Medium Risk
61,C1027,Churned,778.44,3.0,2.0,25.0,1,1,0,0,2,Medium Risk
62,C1148,Active,778.44,4.5,1.0,68.6,0,1,0,1,2,Medium Risk
63,C1151,Churned,778.44,7.764705882352941,1.0,61.7,1,0,0,1,2,Medium Risk
64,C1285,Active,778.44,2.2,2.0,61.0,0,1,0,1,2,Medium Risk
65,C1302,Churned,778.44,9.625,3.0,48.800000000000004,1,0,0,1,2,Medium Risk
66,C1132,Paused,775.04,2.8461538461538463,0.0,34.905,1,1,0,0,2,Medium Risk
67,C1075,Active,738.52,4.875,5.0,26.360000000000003,0,1,1,0,2,Medium Risk
68,C1026,Churned,698.6,7.75,1.0,52.7,1,0,0,1,2,Medium Risk
69,C1355,Churned,698.6,8.666666666666666,4.0,38.75,1,0,1,0,2,Medium Risk
70,C1377,Churned,698.6,10.166666666666666,5.0,39.239999999999995,1,0,1,0,2,Medium Risk
71,C1056,Active,658.68,2.3333333333333335,4.0,36.875,0,1,1,0,2,Medium Risk
72,C1209,Churned,658.68,5.0,1.0,12.3,1,1,0,0,2,Medium Risk
73,C1220,Active,658.68,11.347826086956522,5.0,54.339999999999996,0,0,1,1,2,Medium Risk
74,C1258,Churned,658.68,2.4,1.0,26.1,1,1,0,0,2,Medium Risk
75,C1399,Churned,658.68,8.2,1.0,57.6,1,0,0,1,2,Medium Risk
76,C1131,Paused,525.36,6.142857142857143,4.0,39.4,1,0,1,0,2,Medium Risk
77,C1062,Churned,358.2,2.0,2.0,42.9,1,1,0,0,2,Medium Risk
78,C1294,Churned,358.2,6.75,4.0,31.5,1,0,1,0,2,Medium Risk
79,C1033,Active,342.28,10.428571428571429,5.0,54.220000000000006,0,0,1,1,2,Medium Risk
80,C1137,Churned,342.28,13.75,6.0,30.616666666666664,1,0,1,0,2,Medium Risk
81,C1274,Churned,342.28,10.333333333333334,2.0,46.55,1,0,0,1,2,Medium Risk
82,C1090,Churned,326.36,3.0,3.0,30.566666666666666,1,1,0,0,2,Medium Risk
83,C1312,Active,326.36,4.6923076923076925,5.0,30.96,0,1,1,0,2,Medium Risk
84,C1320,Churned,326.36,13.5,1.0,62.7,1,0,0,1,2,Medium Risk
85,C1414,Churned,326.36,13.0,4.0,21.1,1,0,1,0,2,Medium Risk
86,C1417,Churned,326.36,7.5,4.0,43.974999999999994,1,0,1,0,2,Medium Risk
87,C1088,Active,310.44,3.4210526315789473,3.0,46.4,0,1,0,1,2,Medium Risk
88,C1387,Active,310.44,19.8,4.0,45.575,0,0,1,1,2,Medium Risk
89,C1028,Churned,294.52,10.842105263157896,4.0,27.25,1,0,1,0,2,Medium Risk
90,C1031,Active,294.52,0.0,3.0,44.79999999999999,0,1,0,1,2,Medium Risk
91,C1074,Active,294.52,7.333333333333333,5.0,44.6,0,0,1,1,2,Medium Risk
92,C1082,Active,294.52,13.142857142857142,6.0,51.81666666666666,0,0,1,1,2,Medium Risk
93,C1084,Active,294.52,0.0,5.0,19.22,0,1,1,0,2,Medium Risk
94,C1269,Churned,294.52,7.0,4.0,43.075,1,0,1,0,2,Medium Risk
95,C1001,Churned,278.6,9.25,4.0,38.675,1,0,1,0,2,Medium Risk
96,C1010,Churned,278.6,13.5,6.0,42.03333333333333,1,0,1,0,2,Medium Risk
97,C1167,Active,278.6,3.142857142857143,4.0,19.85,0,1,1,0,2,Medium Risk
98,C1199,Active,278.6,2.4,1.0,59.4,0,1,0,1,2,Medium Risk
99,C1293,Active,278.6,3.7142857142857144,6.0,25.75,0,1,1,0,2,Medium Risk
100,C1333,Churned,278.6,11.142857142857142,5.0,34.959999999999994,1,0,1,0,2,Medium Risk
101,C1011,Active,262.68,4.8,2.0,60.45,0,1,0,1,2,Medium Risk
102,C1025,Active,262.68,3.3333333333333335,4.0,40.825,0,1,1,0,2,Medium Risk
103,C1109,Active,262.68,17.26086956521739,6.0,57.800000000000004,0,0,1,1,2,Medium Risk
104,C1292,Active,262.68,21.142857142857142,4.0,49.75,0,0,1,1,2,Medium Risk
105,C1402,Churned,262.68,13.0,3.0,55.5,1,0,0,1,2,Medium Risk
106,C1276,Churned,246.76,11.0,4.0,4.65,1,0,1,0,2,Medium Risk
107,C1405,Churned,246.76,4.444444444444445,1.0,29.5,1,1,0,0,2,Medium Risk
108,C1228,Churned,230.84,1.4545454545454546,3.0,28.666666666666668,1,1,0,0,2,Medium Risk
109,C1301,Churned,230.84,2.2,2.0,26.4,1,1,0,0,2,Medium Risk
110,C1337,Churned,230.84,2.0,0.0,34.905,1,1,0,0,2,Medium Risk
111,C1196,Churned,99.96,1.5,3.0,15.799999999999999,1,1,0,0,2,Medium Risk
112,C1115,Churned,88.2,8.0,5.0,39.64,1,0,1,0,2,Medium Risk
113,C1238,Churned,88.2,6.9,2.0,64.1,1,0,0,1,2,Medium Risk
114,C1073,Active,84.28,8.823529411764707,4.0,47.4,0,0,1,1,2,Medium Risk
115,C1192,Active,84.28,3.4444444444444446,4.0,31.95,0,1,1,0,2,Medium Risk
116,C1116,Active,80.36,3.0,5.0,34.059999999999995,0,1,1,0,2,Medium Risk
117,C1159,Active,80.36,12.5,6.0,50.54999999999999,0,0,1,1,2,Medium Risk
118,C1279,Churned,80.36,4.142857142857143,3.0,22.3,1,1,0,0,2,Medium Risk
119,C1078,Active,76.44,3.2,8.0,25.3875,0,1,1,0,2,Medium Risk
120,C1170,Churned,76.44,12.333333333333334,2.0,50.4,1,0,0,1,2,Medium Risk
121,C1351,Active,76.44,4.761904761904762,5.0,34.18,0,1,1,0,2,Medium Risk
122,C1367,Churned,76.44,15.0,4.0,40.775,1,0,1,0,2,Medium Risk
123,C1104,Active,72.52,4.666666666666667,1.0,68.5,0,1,0,1,2,Medium Risk
124,C1112,Churned,72.52,12.3125,7.0,27.97142857142857,1,0,1,0,2,Medium Risk
125,C1165,Active,72.52,15.3,5.0,49.480000000000004,0,0,1,1,2,Medium Risk
126,C1176,Churned,72.52,12.0,5.0,23.860000000000003,1,0,1,0,2,Medium Risk
127,C1236,Churned,72.52,6.6,8.0,39.475,1,0,1,0,2,Medium Risk
128,C1020,Churned,68.6,7.857142857142857,5.0,37.7,1,0,1,0,2,Medium Risk
129,C1139,Active,68.6,11.722222222222221,4.0,49.300000000000004,0,0,1,1,2,Medium Risk
130,C1145,Active,68.6,14.227272727272727,5.0,54.06,0,0,1,1,2,Medium Risk
131,C1160,Active,68.6,10.0,4.0,45.15,0,0,1,1,2,Medium Risk
132,C1180,Churned,68.6,12.909090909090908,1.0,79.8,1,0,0,1,2,Medium Risk
133,C1235,Active,68.6,3.2857142857142856,4.0,39.0625,0,1,1,0,2,Medium Risk
134,C1323,Active,68.6,7.933333333333334,4.0,52.625,0,0,1,1,2,Medium Risk
135,C1375,Active,68.6,2.9545454545454546,4.0,36.575,0,1,1,0,2,Medium Risk
136,C1391,Active,68.6,2.142857142857143,5.0,36.78,0,1,1,0,2,Medium Risk
137,C1081,Active,64.68,2.3333333333333335,3.0,47.53333333333333,0,1,0,1,2,Medium Risk
138,C1107,Churned,64.68,10.076923076923077,4.0,34.625,1,0,1,0,2,Medium Risk
139,C1304,Active,64.68,4.466666666666667,4.0,29.3,0,1,1,0,2,Medium Risk
140,C1311,Churned,64.68,2.25,1.0,32.0,1,1,0,0,2,Medium Risk
141,C1358,Churned,64.68,11.1875,4.0,18.85,1,0,1,0,2,Medium Risk
142,C1362,Active,64.68,12.363636363636363,6.0,51.15,0,0,1,1,2,Medium Risk
143,C1017,Active,60.76,3.4285714285714284,3.0,50.166666666666664,0,1,0,1,2,Medium Risk
144,C1179,Churned,60.76,4.285714285714286,3.0,23.666666666666668,1,1,0,0,2,Medium Risk
145,C1208,Churned,60.76,1.75,2.0,25.3,1,1,0,0,2,Medium Risk
146,C1215,Active,60.76,3.6,5.0,32.04,0,1,1,0,2,Medium Risk
147,C1063,Churned,56.84,5.2,4.0,43.95,1,0,1,0,2,Medium Risk
148,C1210,Churned,56.84,4.5,3.0,17.366666666666667,1,1,0,0,2,Medium Risk
149,C1298,Active,56.84,4.095238095238095,4.0,28.75,0,1,1,0,2,Medium Risk
150,C1049,Active,4676.88,10.666666666666666,7.0,19.37142857142857,0,0,1,0,1,Low Risk
151,C1395,Active,3177.88,12.0,5.0,32.739999999999995,0,0,1,0,1,Low Risk
152,C1103,Active,3057.96,11.38888888888889,2.0,45.45,0,0,0,1,1,Low Risk
153,C1242,Active,2648.88,3.5,3.0,18.400000000000002,0,1,0,0,1,Low Risk
154,C1034,Active,2578.28,0.0,3.0,37.53333333333334,0,1,0,0,1,Low Risk
155,C1045,Active,2578.28,8.714285714285714,5.0,30.420000000000005,0,0,1,0,1,Low Risk
156,C1113,Active,2578.28,18.75,5.0,42.620000000000005,0,0,1,0,1,Low Risk
157,C1195,Active,2578.28,11.2,5.0,31.52,0,0,1,0,1,Low Risk
158,C1352,Active,2578.28,9.5,4.0,22.475,0,0,1,0,1,Low Risk
159,C1076,Active,2542.6400000000003,12.125,3.0,45.56666666666666,0,0,0,1,1,Low Risk
160,C1324,Active,2458.36,20.17391304347826,4.0,19.3,0,0,1,0,1,Low Risk
161,C1204,Active,2338.44,14.478260869565217,3.0,62.76666666666667,0,0,0,1,1,Low Risk
162,C1102,Paused,2218.52,14.954545454545455,2.0,22.400000000000002,1,0,0,0,1,Low Risk
163,C1198,Active,2218.52,17.952380952380953,6.0,27.03333333333333,0,0,1,0,1,Low Risk
164,C1341,Active,2218.52,15.590909090909092,4.0,15.6375,0,0,1,0,1,Low Risk
165,C1381,Churned,2218.52,6.1,3.0,28.633333333333336,1,0,0,0,1,Low Risk
166,C1009,Active,2098.6,12.222222222222221,4.0,31.25,0,0,1,0,1,Low Risk
167,C1018,Active,2098.6,8.7,6.0,33.166666666666664,0,0,1,0,1,Low Risk
168,C1162,Churned,2098.6,6.5,3.0,24.2,1,0,0,0,1,Low Risk
169,C1252,Churned,2098.6,6.944444444444445,3.0,43.06666666666666,1,0,0,0,1,Low Risk
170,C1327,Active,2098.6,11.708333333333334,5.0,42.28,0,0,1,0,1,Low Risk
171,C1035,Active,1978.68,9.0,7.0,35.285714285714285,0,0,1,0,1,Low Risk
172,C1256,Active,1978.68,10.2,4.0,40.025000000000006,0,0,1,0,1,Low Risk
173,C1261,Churned,1978.68,14.25,3.0,31.333333333333332,1,0,0,0,1,Low Risk
174,C1334,Active,1978.68,0.0,1.0,35.7,0,1,0,0,1,Low Risk
175,C1350,Active,1978.68,18.88888888888889,4.0,31.8,0,0,1,0,1,Low Risk
176,C1050,Churned,1825.3600000000001,9.181818181818182,3.0,20.6,1,0,0,0,1,Low Risk
177,C1275,Churned,1499.0,10.692307692307692,2.0,21.65,1,0,0,0,1,Low Risk
178,C1202,Churned,1112.88,18.0,1.0,41.6,1,0,0,0,1,Low Risk
179,C1065,Active,898.2,6.0,4.0,32.825,0,0,1,0,1,Low Risk
180,C1224,Active,898.2,4.0,0.0,34.905,0,1,0,0,1,Low Risk
181,C1129,Churned,858.28,7.125,3.0,35.666666666666664,1,0,0,0,1,Low Risk
182,C1172,Churned,818.36,11.5,0.0,34.905,1,0,0,0,1,Low Risk
183,C1273,Active,818.36,7.954545454545454,2.0,61.1,0,0,0,1,1,Low Risk
184,C1079,Active,778.44,12.166666666666666,5.0,22.240000000000002,0,0,1,0,1,Low Risk
185,C1188,Active,778.44,21.61111111111111,4.0,41.275,0,0,1,0,1,Low Risk
186,C1205,Churned,778.44,7.25,1.0,27.3,1,0,0,0,1,Low Risk
187,C1310,Active,778.44,9.0,3.0,46.133333333333326,0,0,0,1,1,Low Risk
188,C1335,Active,778.44,21.823529411764707,4.0,40.825,0,0,1,0,1,Low Risk
189,C1404,Active,778.44,9.7,4.0,24.049999999999997,0,0,1,0,1,Low Risk
190,C1117,Churned,738.52,7.0,3.0,27.03333333333333,1,0,0,0,1,Low Risk
191,C1206,Active,738.52,16.61904761904762,9.0,34.63333333333333,0,0,1,0,1,Low Risk
192,C1232,Active,738.52,12.0,2.0,64.4,0,0,0,1,1,Low Risk
193,C1247,Active,738.52,10.4,5.0,40.22,0,0,1,0,1,Low Risk
194,C1029,Active,698.6,6.75,6.0,26.333333333333332,0,0,1,0,1,Low Risk
195,C1043,Churned,698.6,9.61111111111111,2.0,16.1,1,0,0,0,1,Low Risk
196,C1227,Churned,698.6,6.4,2.0,14.25,1,0,0,0,1,Low Risk
197,C1249,Active,698.6,13.666666666666666,4.0,35.65,0,0,1,0,1,Low Risk
198,C1264,Active,698.6,20.0,5.0,29.339999999999996,0,0,1,0,1,Low Risk
199,C1297,Active,698.6,15.5625,5.0,21.32,0,0,1,0,1,Low Risk
200,C1048,Active,658.68,3.4444444444444446,3.0,27.7,0,1,0,0,1,Low Risk
201,C1093,Active,658.68,13.15,5.0,22.14,0,0,1,0,1,Low Risk
202,C1111,Active,658.68,13.857142857142858,6.0,35.766666666666666,0,0,1,0,1,Low Risk
203,C1169,Active,658.68,4.0,3.0,21.96666666666667,0,1,0,0,1,Low Risk
204,C1296,Active,658.68,11.73913043478261,4.0,20.3,0,0,1,0,1,Low Risk
205,C1359,Active,658.68,0.0,3.0,26.133333333333336,0,1,0,0,1,Low Risk
206,C1416,Active,658.68,17.083333333333332,4.0,31.7,0,0,1,0,1,Low Risk
207,C1005,Churned,618.76,10.23076923076923,3.0,43.5,1,0,0,0,1,Low Risk
208,C1085,Churned,618.76,13.625,2.0,6.95,1,0,0,0,1,Low Risk
209,C1091,Active,618.76,6.5,3.0,51.166666666666664,0,0,0,1,1,Low Risk
210,C1246,Active,618.76,19.272727272727273,2.0,45.400000000000006,0,0,0,1,1,Low Risk
211,C1233,Active,578.84,13.4,6.0,18.466666666666665,0,0,1,0,1,Low Risk
212,C1212,Active,538.92,9.736842105263158,4.0,32.825,0,0,1,0,1,Low Risk
213,C1330,Active,538.92,3.05,1.0,25.5,0,1,0,0,1,Low Risk
214,C1214,Active,405.96,15.5,6.0,33.93333333333333,0,0,1,0,1,Low Risk
215,C1183,Churned,402.8,5.777777777777778,3.0,34.6,1,0,0,0,1,Low Risk
216,C1052,Active,390.04,11.5,4.0,31.1,0,0,1,0,1,Low Risk
217,C1190,Active,342.28,2.3043478260869565,1.0,4.1,0,1,0,0,1,Low Risk
218,C1316,Active,342.28,3.2941176470588234,2.0,38.55,0,1,0,0,1,Low Risk
219,C1338,Active,342.28,15.428571428571429,6.0,36.78333333333334,0,0,1,0,1,Low Risk
220,C1040,Active,326.36,8.363636363636363,4.0,42.3,0,0,1,0,1,Low Risk
221,C1067,Active,326.36,12.636363636363637,6.0,44.21666666666667,0,0,1,0,1,Low Risk
222,C1071,Active,326.36,20.5,4.0,38.45,0,0,1,0,1,Low Risk
223,C1142,Active,326.36,12.272727272727273,4.0,28.05,0,0,1,0,1,Low Risk
224,C1317,Active,326.36,5.8,4.0,34.85,0,0,1,0,1,Low Risk
225,C1346,Active,326.36,18.666666666666668,6.0,39.699999999999996,0,0,1,0,1,Low Risk
226,C1396,Churned,326.36,9.571428571428571,3.0,28.900000000000002,1,0,0,0,1,Low Risk
227,C1410,Churned,326.36,12.4,2.0,35.2,1,0,0,0,1,Low Risk
228,C1418,Active,326.36,7.384615384615385,1.0,55.7,0,0,0,1,1,Low Risk
229,C1053,Churned,310.44,5.6,2.0,41.15,1,0,0,0,1,Low Risk
230,C1080,Active,310.44,3.625,2.0,19.0,0,1,0,0,1,Low Risk
231,C1096,Active,310.44,15.1,5.0,22.48,0,0,1,0,1,Low Risk
232,C1120,Active,310.44,7.571428571428571,2.0,52.349999999999994,0,0,0,1,1,Low Risk
233,C1122,Churned,310.44,6.375,3.0,33.86666666666667,1,0,0,0,1,Low Risk
234,C1207,Active,310.44,17.761904761904763,3.0,46.333333333333336,0,0,0,1,1,Low Risk
235,C1254,Active,310.44,7.809523809523809,4.0,39.75,0,0,1,0,1,Low Risk
236,C1331,Churned,310.44,9.529411764705882,2.0,21.5,1,0,0,0,1,Low Risk
237,C1363,Active,310.44,6.8,6.0,40.38333333333333,0,0,1,0,1,Low Risk
238,C1185,Churned,294.52,10.6,3.0,10.133333333333333,1,0,0,0,1,Low Risk
239,C1211,Active,294.52,17.333333333333332,1.0,57.9,0,0,0,1,1,Low Risk
240,C1322,Active,294.52,11.6875,5.0,43.9,0,0,1,0,1,Low Risk
241,C1372,Active,294.52,22.5,3.0,54.26666666666667,0,0,0,1,1,Low Risk
242,C1400,Active,294.52,10.666666666666666,2.0,53.55,0,0,0,1,1,Low Risk
243,C1419,Active,294.52,16.5,1.0,49.8,0,0,0,1,1,Low Risk
244,C1072,Active,278.6,17.523809523809526,8.0,38.4875,0,0,1,0,1,Low Risk
245,C1118,Active,278.6,4.166666666666667,1.0,27.8,0,1,0,0,1,Low Risk
246,C1127,Active,278.6,17.3,6.0,39.733333333333334,0,0,1,0,1,Low Risk
247,C1141,Active,278.6,5.913043478260869,4.0,33.575,0,0,1,0,1,Low Risk
248,C1193,Active,278.6,3.6,2.0,16.55,0,1,0,0,1,Low Risk
249,C1280,Active,278.6,17.77777777777778,7.0,33.5,0,0,1,0,1,Low Risk
250,C1295,Active,278.6,4.25,0.0,34.905,0,1,0,0,1,Low Risk
251,C1300,Active,278.6,20.0,3.0,46.93333333333334,0,0,0,1,1,Low Risk
252,C1307,Active,278.6,19.875,4.0,20.65,0,0,1,0,1,Low Risk
253,C1319,Active,278.6,11.8,4.0,34.625,0,0,1,0,1,Low Risk
254,C1339,Active,278.6,8.652173913043478,5.0,38.08,0,0,1,0,1,Low Risk
255,C1366,Active,278.6,15.285714285714286,6.0,37.416666666666664,0,0,1,0,1,Low Risk
256,C1403,Active,278.6,16.2,4.0,34.425,0,0,1,0,1,Low Risk
257,C1406,Active,278.6,6.222222222222222,5.0,28.459999999999997,0,0,1,0,1,Low Risk
258,C1051,Active,262.68,18.4,5.0,29.540000000000003,0,0,1,0,1,Low Risk
259,C1068,Active,262.68,2.5,2.0,38.225,0,1,0,0,1,Low Risk
260,C1289,Active,262.68,4.304347826086956,2.0,35.85,0,1,0,0,1,Low Risk
261,C1371,Active,262.68,14.2,4.0,32.65,0,0,1,0,1,Low Risk
262,C1002,Active,246.76,19.727272727272727,4.0,16.95,0,0,1,0,1,Low Risk
263,C1015,Active,246.76,5.083333333333333,3.0,46.800000000000004,0,0,0,1,1,Low Risk
264,C1024,Active,246.76,15.666666666666666,2.0,58.55,0,0,0,1,1,Low Risk
265,C1044,Churned,246.76,13.0,3.0,19.233333333333334,1,0,0,0,1,Low Risk
266,C1135,Active,246.76,11.357142857142858,3.0,62.9,0,0,0,1,1,Low Risk
267,C1161,Active,246.76,2.75,3.0,30.833333333333332,0,1,0,0,1,Low Risk
268,C1226,Paused,246.76,7.95,1.0,10.9,1,0,0,0,1,Low Risk
269,C1157,Active,230.84,6.909090909090909,6.0,38.083333333333336,0,0,1,0,1,Low Risk
270,C1174,Active,230.84,12.6,6.0,32.725,0,0,1,0,1,Low Risk
271,C1181,Churned,230.84,16.25,2.0,23.299999999999997,1,0,0,0,1,Low Risk
272,C1106,Active,199.0,4.75,3.0,21.0,0,1,0,0,1,Low Risk
273,C1219,Active,160.72,7.35,2.0,62.05,0,0,0,1,1,Low Risk
274,C1253,Active,156.8,6.0,8.0,32.85,0,0,1,0,1,Low Risk
275,C1225,Active,129.36,10.058823529411764,4.0,39.7,0,0,1,0,1,Low Risk
276,C1354,Active,99.96,15.75,4.0,44.225,0,0,1,0,1,Low Risk
277,C1126,Active,96.04,13.2,4.0,29.05,0,0,1,0,1,Low Risk
278,C1123,Active,92.12,12.875,5.0,31.339999999999996,0,0,1,0,1,Low Risk
279,C1066,Active,88.2,5.333333333333333,3.0,46.63333333333333,0,0,0,1,1,Low Risk
280,C1099,Churned,88.2,5.3076923076923075,3.0,6.166666666666667,1,0,0,0,1,Low Risk
281,C1197,Active,88.2,9.555555555555555,6.0,38.38333333333333,0,0,1,0,1,Low Risk
282,C1138,Active,84.28,16.666666666666668,5.0,26.080000000000002,0,0,1,0,1,Low Risk
283,C1158,Active,84.28,9.136363636363637,3.0,46.0,0,0,0,1,1,Low Risk
284,C1245,Active,84.28,8.0,7.0,33.42857142857143,0,0,1,0,1,Low Risk
285,C1036,Active,80.36,9.882352941176471,6.0,32.26666666666667,0,0,1,0,1,Low Risk
286,C1060,Active,80.36,21.38888888888889,2.0,57.1,0,0,0,1,1,Low Risk
287,C1077,Active,80.36,6.4,4.0,22.175,0,0,1,0,1,Low Risk
288,C1083,Active,80.36,6.3,1.0,69.2,0,0,0,1,1,Low Risk
289,C1114,Active,80.36,21.5,2.0,54.7,0,0,0,1,1,Low Risk
290,C1133,Active,80.36,0.0,1.0,32.4,0,1,0,0,1,Low Risk
291,C1221,Churned,80.36,6.75,3.0,26.233333333333334,1,0,0,0,1,Low Risk
292,C1021,Active,76.44,13.2,4.0,38.625,0,0,1,0,1,Low Risk
293,C1039,Active,76.44,3.772727272727273,2.0,11.65,0,1,0,0,1,Low Risk
294,C1173,Churned,76.44,8.75,1.0,23.1,1,0,0,0,1,Low Risk
295,C1329,Active,76.44,3.2857142857142856,3.0,25.933333333333334,0,1,0,0,1,Low Risk
296,C1342,Active,76.44,6.65,4.0,18.1,0,0,1,0,1,Low Risk
297,C1095,Active,72.52,7.391304347826087,2.0,50.900000000000006,0,0,0,1,1,Low Risk
298,C1119,Active,72.52,7.944444444444445,3.0,44.76666666666667,0,0,0,1,1,Low Risk
299,C1177,Active,72.52,17.5,5.0,26.28,0,0,1,0,1,Low Risk
300,C1244,Active,72.52,5.0,2.0,30.8,0,1,0,0,1,Low Risk
301,C1303,Active,72.52,6.705882352941177,7.0,39.785714285714285,0,0,1,0,1,Low Risk
302,C1306,Active,72.52,8.285714285714286,3.0,53.53333333333334,0,0,0,1,1,Low Risk
303,C1386,Active,72.52,15.958333333333334,6.0,39.43333333333333,0,0,1,0,1,Low Risk
304,C1055,Churned,68.6,7.444444444444445,3.0,28.366666666666664,1,0,0,0,1,Low Risk
305,C1108,Paused,68.6,13.291666666666666,2.0,32.05,1,0,0,0,1,Low Risk
