CustomerID,TotalMRR,TotalSeats
C1374,778.44,8
C1404,778.44,8
C1415,778.44,8
C1132,775.04,14
C1075,738.52,7
C1117,738.52,7
C1186,738.52,7
C1206,738.52,7
C1232,738.52,7
C1247,738.52,7
C1248,738.52,7
C1389,738.52,7
C1407,738.52,7
C1154,723.3599999999999,10
C1026,698.6,6
C1029,698.6,6
C1043,698.6,6
C1105,698.6,6
C1227,698.6,6
C1249,698.6,6
C1264,698.6,6
C1297,698.6,6
C1355,698.6,11
C1377,698.6,6
C1007,658.68,5
C1048,658.68,5
C1056,658.68,5
C1059,658.68,5
C1093,658.68,5
C1111,658.68,5
C1169,658.68,5
C1209,658.68,5
C1220,658.68,5
C1258,658.68,5
C1296,658.68,5
C1336,658.68,5
C1359,658.68,5
C1361,658.68,5
C1370,658.68,5
C1399,658.68,5
C1416,658.68,5
C1005,618.76,4
C1085,618.76,4
C1091,618.76,4
C1153,618.76,4
C1246,618.76,4
C1332,618.76,4
C1348,618.76,4
C1356,618.76,4
C1150,578.84,3
C1187,578.84,3
C1233,578.84,3
C1212,538.92,2
C1330,538.92,2
C1131,525.36,10
C1041,437.8,16
C1214,405.96,14
C1183,402.8,17
C1052,390.04,13
C1378,383.20000000000005,12
C1299,374.12,12
C1062,358.2,11
C1237,358.2,11
C1294,358.2,11
C1033,342.28,10
C1137,342.28,10
C1190,342.28,10
C1262,342.28,10
C1266,342.28,10
C1274,342.28,10
C1316,342.28,10
C1328,342.28,10
C1338,342.28,10
C1401,342.28,10
C1019,326.36,9
C1040,326.36,9
C1067,326.36,9
C1071,326.36,9
C1090,326.36,9
C1142,326.36,9
C1178,326.36,9
C1286,326.36,9
C1312,326.36,9
C1317,326.36,9
C1320,326.36,9
C1346,326.36,9
C1396,326.36,9
C1398,326.36,9
C1410,326.36,9
C1414,326.36,9
C1417,326.36,9
C1418,326.36,9
C1053,310.44,8
C1061,310.44,8
C1080,310.44,8
C1088,310.44,8
C1096,310.44,8
C1120,310.44,8
C1122,310.44,8
C1189,310.44,8
C1207,310.44,8
C1254,310.44,8
C1255,310.44,8
C1314,310.44,8
C1331,310.44,8
C1363,310.44,8
C1376,310.44,8
C1387,310.44,8
C1388,310.44,8
C1028,294.52,7
C1031,294.52,7
C1074,294.52,7
C1082,294.52,7
C1084,294.52,7
C1101,294.52,7
C1110,294.52,7
C1136,294.52,7
C1146,294.52,7
C1152,294.52,7
C1171,294.52,8
C1185,294.52,7
C1211,294.52,7
C1265,294.52,7
C1269,294.52,7
C1270,294.52,7
C1271,294.52,7
C1322,294.52,7
C1372,294.52,7
C1400,294.52,7
C1419,294.52,7
C1001,278.6,6
C1003,278.6,6
C1010,278.6,6
C1072,278.6,6
C1118,278.6,6
C1124,278.6,6
C1127,278.6,6
C1140,278.6,6
C1141,278.6,6
C1163,278.6,6
C1167,278.6,6
C1193,278.6,6
C1199,278.6,6
C1223,278.6,6
C1277,278.6,8
C1280,278.6,6
C1293,278.6,6
C1295,278.6,6
C1300,278.6,6
C1307,278.6,6
C1319,278.6,6
C1333,278.6,6
C1339,278.6,6
C1366,278.6,6
C1390,278.6,6
C1393,278.6,6
C1394,278.6,6
C1403,278.6,6
C1406,278.6,6
C1420,278.6,6
C1011,262.68,5
C1025,262.68,5
C1051,262.68,5
C1068,262.68,5
C1109,262.68,5
C1147,262.68,5
C1289,262.68,5
C1292,262.68,5
C1305,262.68,7
C1344,262.68,5
C1357,262.68,5
C1371,262.68,5
C1402,262.68,5
C1411,262.68,5
C1002,246.76,4
C1015,246.76,4
C1024,246.76,4
C1038,246.76,4
C1044,246.76,4
C1135,246.76,4
C1161,246.76,4
C1226,246.76,4
C1231,246.76,4
C1276,246.76,4
C1405,246.76,4
C1413,246.76,4
C1157,230.84,3
C1174,230.84,3
C1181,230.84,3
C1228,230.84,3
C1287,230.84,3
C1301,230.84,3
C1337,230.84,3
C1213,214.92,2
C1106,199,1
C1219,160.72,18
C1253,156.8,17
C1225,129.36,10
C1196,99.96,14
C1354,99.96,14
C1126,96.04,13
C1123,92.12,12
C1383,92.12,12
C1066,88.2,11
C1099,88.2,11
C1115,88.2,11
C1125,88.2,11
C1128,88.2,11
C1143,88.2,11
C1197,88.2,11
C1238,88.2,11
C1340,88.2,11
C1073,84.28,10
C1138,84.28,10
C1158,84.28,10
C1192,84.28,10
C1218,84.28,10
C1245,84.28,10
C1283,84.28,10
C1004,80.36,9
C1036,80.36,9
C1047,80.36,9
C1060,80.36,9
C1069,80.36,9
C1077,80.36,9
C1083,80.36,9
C1114,80.36,9
C1116,80.36,9
C1130,80.36,9
C1133,80.36,9
C1159,80.36,9
C1164,80.36,9
C1221,80.36,9
C1268,80.36,9
C1279,80.36,9
C1309,80.36,9
C1021,76.44,8
C1039,76.44,8
C1057,76.44,8
C1078,76.44,8
C1170,76.44,8
C1173,76.44,8
C1216,76.44,8
C1326,76.44,8
C1329,76.44,8
C1342,76.44,8
C1351,76.44,8
C1367,76.44,8
C1089,72.52,9
C1095,72.52,7
C1104,72.52,7
C1112,72.52,7
C1119,72.52,7
C1165,72.52,7
C1176,72.52,7
C1177,72.52,7
C1229,72.52,7
C1236,72.52,7
C1244,72.52,7
C1278,72.52,7
C1303,72.52,7
C1306,72.52,7
C1343,72.52,7
C1347,72.52,7
C1386,72.52,7
C1014,68.6,6
C1020,68.6,6
C1055,68.6,6
C1064,68.6,6
C1092,68.6,6
C1097,68.6,6
C1108,68.6,6
C1139,68.6,6
C1145,68.6,6
C1160,68.6,6
C1180,68.6,6
C1191,68.6,6
C1234,68.6,6
C1235,68.6,6
C1321,68.6,6
C1323,68.6,6
C1353,68.6,6
C1375,68.6,6
C1382,68.6,6
C1391,68.6,6
C1408,68.6,6
C1409,68.6,6
C1022,64.68,5
C1058,64.68,5
C1070,64.68,5
C1081,64.68,5
C1107,64.68,5
C1240,64.68,5
C1243,64.68,5
C1304,64.68,5
C1311,64.68,5
C1318,64.68,5
C1358,64.68,5
C1362,64.68,5
C1392,64.68,5
C1017,60.76,4
C1032,60.76,4
C1042,60.76,4
C1087,60.76,4
C1179,60.76,4
C1200,60.76,4
C1208,60.76,4
C1215,60.76,4
C1291,60.76,4
C1360,60.76,4
C1373,60.76,4
C1379,60.76,4
C1063,56.84,3
C1134,56.84,3
C1168,56.84,3
C1175,56.84,3
C1210,56.84,3
C1298,56.84,3
C1315,52.92,2
C1368,52.92,2
